source_paper,star_name,normalized_name,age_gyr,age_err_lo_gyr,age_err_hi_gyr,prot_days,query_name,simbad_found,simbad_main_id,simbad_ra_deg,simbad_dec_deg,simbad_ids,simbad_status,gaia_dr3_source_id_from_simbad,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,ebpminrp_gspphot,g_rp,bp_rp_0,ruwe_flag
Engle_2023,LP 498-25,LP 498-25,3.8,1.58,0.7,49.0,LP 498-25,True,LP  498-25,204.7871911232,12.157331631240003,TIC 171731626|Gaia DR3 3738752852026813184|LSPM J1339+1209|ASCC  956006|USNO-B1.0 1021-00260235|LP  498-25|NLTT 34781|2MASS J13390890+1209265|PM2000 1062910|WDS J13392+1209A|** LDS 4391A|WISEA J133909.02+120925.0|Gaia DR2 3738752852026813184,ok,3.738752852026813e+18,3.738752852026813e+18,204.7877468854365,12.156739432061372,19.279788020346192,0.023063565,122.24208464069316,-133.2449407745248,13.015613,14.282706,11.902324,2.3803825,1.2225158,,1.1132889,,True
Engle_2023,LHS 353,LHS 353,4.42,1.52,2.13,61.2,LHS 353,True,Ross  476,202.51165128129168,-8.707073245239721,GJ 514.1|GJ 9447|Gaia DR3 3630015546177181952|PM J13300-0842E|** LDS  448B|PLX 3080|WDS J13303-0834B|2MASS J13300285-0842251|CSI-08-13275|Ci 20  783|G  14-57|GEN# +9.80014057|CNS5 3324|LFT 1013|LHS   353|LPM 480|LTT  5214|Ross  476|UBV M  42338|USNO 241|[RHG95]  2124|PLX 3080.00|EPIC 212681564|JP11  5203|CSI-07  3632  2|GEN# -0.00703632B|UBV   12144|PM 13275-0827|WISEA J133002.00-084230.4|UCAC4 407-056651|PM J13300-0842|Gaia DR2 3630015546177181952|Karmn J13300-087|NLTT 34288,ok,3.6300155461771817e+18,3.6300155461771817e+18,202.5066423755024,-8.70917931639764,62.2806924078119,0.041980937,-1114.0153193697552,-473.8586392027861,12.70625,14.502465,11.427612,3.074853,1.5704417,,1.2786379,,True
Engle_2023,LP 906-23,LP 906-23,4.86,1.57,4.41,78.3,LP 906-23,True,LP  906-23,170.84118028414,-32.38342856998,TIC 57206603|Gaia DR3 5402903764121955840|LP  906-23|NLTT 27233|Ruiz 439-230|UCAC3 116-140315|UCAC4 289-062239|2MASS J11232190-3223003|Gaia DR2 5402903764121955840,ok,5.402903764121956e+18,5.402903764121956e+18,170.83997871620534,-32.38324719419744,10.84782568856653,0.038403213,-228.3082956698228,40.81083408736024,15.117716,16.70614,13.900269,2.805872,1.1790636,,1.2174473,,False
Engle_2023,40 Eri C,40 Eri C,4.89,2.71,4.81,81.0,40 Eri C,True,* omi02 Eri C,63.83973332536918,-7.655748493915556,TIC 67772873|GJ 166 C|Gaia DR3 3195919254111314816|V* DY Eri|* omi02 Eri C|*  40 Eri C|2RE J041521-073855|2RE J0415-073|8pc 198.24C|AAVSO 0410-07D|ADS  3093 C|BD-07   781C|CNS5 1052|CCDM J04153-0739C|CSI-07   781  2|GCRV  2442|GEN# +1.00026976C|LFT  340|LHS    25|LTT  1909|NLTT 12869|RE J0415-073|RE J041520-073853|UBV    4142|Zkh  60|[RHG95]   742|2MASS J04152173-0739173|WDS J04153-0739C|** STF  518C|Gaia DR2 3195919322830293760|PMSC 04107-0748C|WISEA J041519.99-073955.6|WEB  3796|Karmn J04153-076,ok,3.195919254111315e+18,3.195919254111315e+18,63.82965602087436,-7.670903382610344,199.4516185973888,0.0692062452435493,-2247.1829426127065,-3409.8237087898747,9.775308609008787,11.490884780883787,8.501209259033203,2.989675521850586,1.5311920642852783,,1.274099349975586,,True
Engle_2023,G201-40,G201-40,5.16,2.87,3.77,77.6,G201-40,True,G 201-40,227.9732988798341,56.41445624778389,TIC 165626748|Gaia DR3 1600882199829338368|USNO-B1.0 1464-00257263|CSI+56-15106  1|G 201-40|G 224-54|GEN# +9.80201040|LP  135-155|NLTT 39608|UBV   13140|2MASS J15115361+5624523|LSPM J1511+5624E|WDS J15119+5624A|** LDS 1422A|WISEA J151153.30+562448.9|Gaia DR2 1600882199829338368|AP J15115361+5624523,ok,1.6008821998293384e+18,1.6008821998293384e+18,227.9715095500628,56.41314630588021,17.41767670563224,0.018178198,-222.7103795032225,-294.7398254036402,14.626679,16.048891,13.456678,2.5922127,1.2193037,,1.170001,,True
Engle_2023,Proxima Cen,Proxima Cen,5.3,0.7,0.7,86.4,Proxima Cen,True,NAME Proxima Centauri,217.42894222160567,-62.67949018907555,TIC 388857263|AP J14294291-6240465|GJ 551|HIP 70890|TIC 1019422535|Gaia DR3 5853498713190525696|PLX 3278|* alf Cen C|2E 1426.0-6227|2E  3278|2RE J142946-624031|2RE J1429-624|CCDM J14396-6050C|CSI-62-14263|CSV   2142|Ci 20  861|GEN# +6.10010551|GEN# +6.00105721|HIC  70890|IRAS 14260-6227|JP11  5156|JP11  5155|JP11  5187|LFT 1110|LHS    49|LPM 526|LTT  5721|CNS5 3591|NAME Proxima Cen|NAME Proxima|NAME Proxima Centauri|NLTT 37460|PM 14263-6228|RE J1429-624|RE J142950-624056|V* V645 Cen|Zkh 211|[AOP94]  6|[FS2003] 0708|[GKL99] 301|[RHG95]  2291|2MASS J14294291-6240465|PLX 3278.00|1E 1425.9-6228|1ES 1426-62.4|1RXS J142947.9-624058|2EUVE J1429-62.6|EUVE J1429-62.6|EUVE J1430-62.6|RX J1429.7-6240|WDS J14396-6050C|PMSC 14328-6025C|Gaia DR2 5853498713160606720|WISEA J142937.35-624038.3|PM J14297-6240,ok,5.853498713190526e+18,5.853498713190526e+18,217.39232147200883,-62.67607511676666,768.0665391873573,0.049872905,-3781.741008265163,769.4650146478623,8.984749,11.373116,7.5685353,3.8045802,0.97145325,,1.4162135,,False
Engle_2023,G87-28,G87-28,5.42,1.45,1.7,91.1,G87-28,True,G  87-28,107.556671179195,37.669563633480834,TIC 321104193|GJ 3430|Gaia DR3 946030529073022080|ASCC  483324|2MASS J07101359+3740104|USNO-B1.0 1276-00180474|NLTT 17475|CSI+37-07069  1|G  87-28|G 107-53|CNS5 1785|GEN# +9.80087028|LTT 17942|UBV    6193|UBV M  53683|USNO  25|[RHG95]  1139|LSPM J0710+3740S|WDS J07103+3739A|WISEA J071013.41+374007.4|Gaia DR2 946030529073022080,ok,9.46030529073022e+17,9.46030529073022e+17,107.55549608697169,37.66831559930888,44.60083534517721,0.4368635,-209.28153394130828,-280.80880855544444,13.232475,14.892705,11.992752,2.899953,33.12374,,1.2397232,,True
Engle_2023,2MASS J23095781+5506472,2MASS J23095781+5506472,5.47,,0.61,,2MASS J23095781+5506472,True,G 233-42,347.4910815551283,55.11316051022055,TIC 315301271|Gaia DR3 1996725077535282944|CNS5 5703|NLTT 56019|2MASS J23095781+5506472|USNO-B1.0 1451-00437519|LSPM J2309+5506W|G 233-42|WISEA J230958.36+550647.8|Gaia DR2 1996725077535282944|** NSN   11A|WDS J23100+5507A,ok,1.996725077535283e+18,1.996725077535283e+18,347.4942602443266,55.11334934475551,60.92132302167948,0.0270537957549095,409.0668851208582,42.478462401165714,13.98619270324707,16.16016387939453,12.632325172424316,3.527838706970215,1.1729120016098022,0.0013999999500811,1.353867530822754,3.5264387070201337,False
Engle_2023,LSPM J1604+3909W,LSPM J1604+3909W,6.9,0.9,0.9,127.9,LSPM J1604+3909W,True,HD 144579B,241.21190989938128,39.15997749826111,TIC 24089801|GJ 611 B|AP J16045093+3909359|Gaia DR3 1379500928055726848|UCAC2  45514367|2MASS J16045093+3909359|USNO-B1.0 1291-00256796|G 180-27|GEN# +9.80180027|CNS5 3951|LHS  3150|NLTT 41931|USNO 334|[RHG95]  2531|LSPM J1604+3909W|PLX 3649.01|WDS J16048+3910B|CCDM J16049+3909B|IDS 16013+3926 B|** WNO   47B|HD 144579B|WISEA J160450.35+390936.3|UCAC4 646-054145|PM J16048+3909|Gaia DR2 1379500928055726848|Karmn J16048+391,ok,1.3795009280557268e+18,1.3795009280557268e+18,241.20868366880867,39.16016523606519,69.63745120606852,0.019233797,-562.8536015218508,42.2310012063391,12.854803,14.52069,11.612505,2.908185,1.1453565,,1.2422981,,False
Engle_2023,LHS 229,LHS 229,8.71,0.46,0.56,152.3,LHS 229,True,G 107-69,112.67824344924,48.19960802506694,TIC 328328639|GJ 275.2 A|Gaia DR3 975968718869126144|WISE J073042.55+481145.7|CNS5 1860|LSPM J0730+4811|NLTT 17949|2MASS J07304280+4811599|CSI+48-07270|G 111-7|G 193-50|G 107-69|GEN# +9.80107069|LHS   229|PM 07270+4819|UBV    6455|UBV M  53744|USNO 424|USNO 823|Zkh 104|[RHG95]  1178|USNO-B1.0 1381-00227156|WDS J07307+4813A|** GIC   75A|PMSC 07234+4824Aab|PMSC 07234+4824A|Gaia DR2 975968718869126144|WISEA J073042.55+481145.2|PM J07307+4811|Karmn J07307+481,ok,9.75968718869126e+17,9.75968718869126e+17,112.67690130725812,48.19395397764997,88.7231202625499,0.029806500300765,-201.28231349716827,-1272.162430366848,12.116490364074709,13.821537017822266,10.863542556762695,2.9579944610595703,1.356261134147644,,1.2529478073120115,,True
