source_paper,star_name,normalized_name,age_gyr,age_err_lo_gyr,age_err_hi_gyr,prot_days,age_method
Engle_2024,CK Ari,CK Ari,0.3622429984166986,0.0356551662443627,0.0395478124322413,9.7,gyro_e23
Engle_2024,UCAC4 654-053944,UCAC4 654-053944,0.3819442708400465,0.0399648283263376,0.0446352479615461,10.08,gyro_e23
Engle_2024,UCAC4 669-046011,UCAC4 669-046011,0.3971915494694403,0.0399187113175114,0.0443788978838721,10.35,gyro_e23
Engle_2024,TYC 3483-856-1,TYC 3483-856-1,0.4083193863326921,0.0435654394070842,0.0487688032821829,10.54,gyro_e23
Engle_2024,EPIC 210741091,EPIC 210741091,0.4325138310350087,0.0443634650443604,0.0494339665901186,10.95,gyro_e23
Engle_2024,EPIC 210707811,EPIC 210707811,0.4864072056914615,0.0508953320058929,0.0568431258009716,11.77,gyro_e23
Engle_2024,GJ 3367,GJ 3367,0.5069907082747044,0.0530490916245011,0.0592485807635488,12.05,gyro_e23
Engle_2024,V2689 Ori,V2689 Ori,0.5248074602497725,0.0559940781045073,0.062681892280004,12.29,gyro_e23
Engle_2024,BD+16 2708 (GJ 569 A),BD+16 2708,0.6397348354826481,0.0708819046388066,0.0797141425210513,13.68,gyro_e23
Engle_2024,StKM 1-1215,StKM 1-1215,0.660693448007596,0.0799290304862839,0.0909294460106094,13.91,gyro_e23
Engle_2024,DS Leo (GJ 410),DS Leo,0.7211074791828996,0.0813726437002514,0.0917230369811996,14.52,gyro_e23
Engle_2024,1RXS J133332.0+364153,1RXS J133332.0+364153,0.8128305161640993,0.0950362248927375,0.107619055589072,15.36,gyro_e23
Engle_2024,TYC 3142-1028-1,TYC 3142-1028-1,0.8472274141405964,0.1093231840114954,0.1255198096363686,15.65,gyro_e23
Engle_2024,HD 11507,HD 11507,0.8649679187756932,0.1028889087502812,0.1167800242442911,15.8,gyro_e23
Engle_2024,UCAC4 650-018148,UCAC4 650-018148,0.9099132726322516,0.1082352092445724,0.1228481331291458,16.14,gyro_e23
Engle_2024,StKM 1-1407,StKM 1-1407,0.9099132726322516,0.1082352092445724,0.1228481331291458,16.15,gyro_e23
Engle_2024,GJ 3942,GJ 3942,0.9311078754678304,0.122011976289448,0.140411429769776,16.3,gyro_e23
Engle_2024,GJ 685,GJ 685,0.9311078754678304,0.110756331138012,0.1257096337458281,16.3,gyro_e23
Engle_2024,GJ 338A,GJ 338A,0.9311078754678304,0.2854536464331748,0.4116570856700334,16.3,gyro_e23
Engle_2024,G 115-72,G 115-72,0.9727472237769652,0.1176805108922818,0.1338765602007011,16.61,gyro_e23
Engle_2024,GJ 338B,GJ 338B,0.9727472237769652,0.1157093785465954,0.131331396125108,16.61,gyro_e23
Engle_2024,GJ 694.2,GJ 694.2,1.0739894123412448,0.1320998158184034,0.1506267869238038,17.3,gyro_e23
Engle_2024,EPIC 202059231,EPIC 202059231,1.093956366272094,0.1345557347561607,0.1534271479708491,17.43,gyro_e23
Engle_2024,GJ 3822,GJ 3822,1.2387965865303692,0.1573626352324311,0.180260935158723,18.3,gyro_e23
Engle_2024,GJ 49,GJ 49,1.4588142602753484,0.1882401550668067,0.2161286157510888,19.45,gyro_e23
Engle_2024,GJ 606,GJ 606,1.5776112696993487,0.2098824441034996,0.2420895889106347,20.0,gyro_e23
Engle_2024,1RXS J165257.4+255744,1RXS J165257.4+255744,1.6292960326397223,0.2200072342178476,0.2543530568500782,20.22,gyro_e23
Engle_2024,GJ 2,GJ 2,1.8749945080674189,0.2606359512409324,0.30271526428574,21.2,gyro_e23
Engle_2024,GJ 720A,GJ 720A,3.2885163087598306,0.51519620410799,0.6109035580056035,34.5,gyro_e23
Engle_2024,GJ 47,GJ 47,3.2960971217745776,0.516383854015289,0.6123118361494426,34.7,gyro_e23
Engle_2024,HD 38529c,HD 38529c,3.3884415613920256,0.5439804539441098,0.6480123682840242,35.9,gyro_e23
Engle_2024,GJ 740,GJ 740,3.4197944251370886,0.5556164552305076,0.663399438189832,36.4,gyro_e23
Engle_2024,GJ 832,GJ 832,3.548133892335755,0.596924665669369,0.717661295680172,38.1,gyro_e23
Engle_2024,EPIC 201675315,EPIC 201675315,3.548133892335755,0.6037122585369934,0.7274949691801074,38.13,gyro_e23
Engle_2024,HD 285968 (GJ 176),HD 285968,3.70680721782576,0.6589122281977771,0.8013598275888407,40.13,gyro_e23
Engle_2024,BD-18 359,BD-18 359,4.073802778041127,0.7852864692812966,0.972810197594156,44.51,gyro_e23
Engle_2024,LHS 373 (GJ 552),LHS 373,4.111497211045222,0.807801800677074,1.005321144357855,44.9,gyro_e23
Engle_2024,GJ 15A,GJ 15A,4.111497211045222,0.807801800677074,1.005321144357855,44.95,gyro_e23
Engle_2024,GJ 752A,GJ 752A,4.265795188015927,0.861713291005918,1.079848405953789,46.6,gyro_e23
Engle_2024,GJ 625,GJ 625,4.709773263969529,1.036950258988682,1.3297130297942692,51.22,gyro_e23
Engle_2024,BR Psc (GJ 908),BR Psc,4.96592321450336,1.1464805061028946,1.4906190758431943,53.7,gyro_e23
Engle_2024,GJ 476,GJ 476,5.105049999754062,1.2943917658163318,1.7340664730602304,55.0,gyro_e23
Engle_2024,HD 95735b (GJ 411),HD 95735b,5.236004365857502,1.2549326603225297,1.6505185975852583,56.15,gyro_e23
Engle_2024,GJ 1,GJ 1,5.308844442309884,1.3823950883138854,1.869098470403734,56.8,gyro_e23
Engle_2024,GJ 625,GJ 625,4.709773263969529,1.036950258988682,1.3297130297942692,60.7,gyro_e23
