source_paper,star_name,age_gyr,age_err_lo_gyr,age_err_hi_gyr,prot_days,age_method,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,ebpminrp_gspphot,g_rp,bp_rp_0,ruwe_flag
Engle_2023,Gaia DR3 75525a,1.98,0.39,1.01,20.6,wd_companion,4.0215658270140247e+18,176.48532004722605,31.824025919704592,31.91490983810673,0.0293080136179924,-154.188317838324,-262.4732515214976,13.706892013549805,13.662728309631348,13.830787658691406,-0.1680593490600586,1.156918168067932,,-0.1238956451416015,,False
Engle_2023,G148-6,2.2,0.57,1.35,22.7,wd_companion,4.021566209266337e+18,176.4823529618982,31.82410244585442,31.63887765400161,0.3642143,-165.4478216855959,-260.0135252445386,12.808223,14.304039,11.611558,2.692481,18.951975,,1.1966648,,True
Engle_2023,GJ 821,9.5,1.5,1.5,86.2,kinematics,6.885776098199761e+18,317.32587881622555,-13.31137231459359,84.44018320948496,0.025683865,715.0641543639571,-1995.4456205314848,10.027026,11.107968,8.992317,2.1156511,1.0270468,0.0004,1.034709,2.115251,False
Engle_2023,LP 783-2,3.12,0.56,1.73,25.45,wd_companion,5.717278911884264e+18,115.0860829678518,-17.415137719851018,109.25448246098924,0.03917484,1152.243039954044,-536.4117210908856,13.95689,16.885386,12.506049,4.3793364,1.0867008,,1.450841,,False
Engle_2024,UCAC4 669-046011,0.3971915494694403,0.0399187113175114,0.0443788978838721,10.35,gyro_e23,9.620926072496626e+17,95.84284877880158,43.74141001481567,17.87828398271926,0.10983585,19.51297796429976,-83.65128563383661,12.528999,13.724881,11.441647,2.2832346,7.2904096,,1.0873528,,True
Engle_2024,TYC 3483-856-1,0.4083193863326921,0.0435654394070842,0.0487688032821829,10.54,gyro_e23,1.401005829306968e+18,233.1548725255392,46.88462090247825,38.11223872878805,0.01344942,-123.39172400344032,-10.00402658965643,10.712126,11.778458,9.684699,2.0937586,1.2103418,,1.0274267,,True
Engle_2024,G 176-13,0.516416369272071,0.0266375499036248,0.0280862835703502,10.75,gyro_e23,7.786718369837531e+17,166.5187761566016,42.879086537082046,14.878696084622652,0.0199909526854753,-162.9157781892285,-297.0582602342861,13.61422348022461,14.75311279296875,12.548223495483398,2.204889297485352,1.0653609037399292,,1.065999984741211,,False
Engle_2024,HAT 170-05945,0.5236004365857502,0.0270081151354141,0.0284770026950071,10.86,gyro_e23,2.1942665363658125e+17,60.60069973967772,36.14981100184709,15.675260923870374,0.017457101,51.38506630619298,-69.9476116807061,13.312289,14.659282,12.1655855,2.4936962,1.1286684,,1.1467037,,False
Engle_2024,EPIC 210741091,0.4325138310350087,0.0443634650443604,0.0494339665901186,10.95,gyro_e23,4.791781625391872e+16,66.31113667576857,18.973455972926324,18.569708027172418,0.03217943,97.28108105716188,-28.88760750152069,11.957183,12.925601,10.876818,2.0487833,2.0377967,,1.0803652,,True
Engle_2024,GJ 3367,0.5069907082747044,0.0530490916245011,0.0592485807635488,12.05,gyro_e23,3.2191324828970573e+18,86.82453154119679,-0.0138658465738423,38.55649750941488,0.017369715,-74.88078267259164,-70.65399028183498,10.206772,11.155877,9.242287,1.9135904,1.0528545,0.0017,0.96448517,1.9118904,False
