source_id,A_V,A_V_err,A_Ks,A_Ks_err,dustmap_used
151028990206478080,0.05241256341014352,0.003754458932279422,0.004088179945991194,0.00036015699478702883,Edenhofer
4864753467263620224,0.0,0.0,0.0,0.0,none
147796013704188928,0.06379529446102138,0.0020846028860870974,0.004976032967959667,0.0003025820161446745,Edenhofer
4894315447987680640,0.0,0.0,0.0,0.0,none
148449913884294528,0.12468382989521469,0.008032558947287584,0.009725338731826745,0.0008008050865969937,Edenhofer
146767764173923328,0.038231703565972656,0.001149679050707944,0.0029820728781458673,0.00017728003282934123,Edenhofer
146708734143437568,0.034759488020564645,0.0006179645690927487,0.0027112400656040423,0.00014715607805550977,Edenhofer
148184656704340352,0.0,0.0,0.0,0.0,none
148112913570653568,0.11657626533977661,0.010715561311746974,0.009092948696502576,0.0009570919960792375,Edenhofer
4866413317504891392,0.0,0.0,0.0,0.0,none
4662589219211975296,0.0,0.0,0.0,0.0,none
4814443246854579072,0.0,0.0,0.0,0.0,none
4677731349742482176,0.0,0.0,0.0,0.0,none
4784114803446931200,0.0,0.0,0.0,0.0,none
4784584668571800960,0.0,0.0,0.0,0.0,none
4786900240059859968,0.019037656265078768,3.1977292014376135e-06,0.001484937188676144,7.615103353762581e-05,Edenhofer
3213122208743219200,0.0,0.0,0.0,0.0,none
3418324583527645440,0.0,0.0,0.0,0.0,none
3187115498866675456,0.0,0.0,0.0,0.0,none
4773708200768145664,0.018043910004115864,1.5520980775501225e-06,0.0014074249803210375,7.217574154931478e-05,Edenhofer
2983526111937415040,0.02173856674881591,1.2161007039771755e-06,0.001695608206407641,8.695431873298073e-05,Edenhofer
4822636399484228224,0.0,0.0,0.0,0.0,none
2989206326445903616,0.02325871655467685,1.2008785046741757e-06,0.0018141798912647941,9.303491337194361e-05,Edenhofer
4806531509075189632,0.014165294184039676,5.254693051646116e-05,0.0011048929463550947,5.680922431857862e-05,Edenhofer
2968166003220173696,0.0,0.0,0.0,0.0,none
2901786974419551488,0.0,0.0,0.0,0.0,none
3216729573251961856,0.0,0.0,0.0,0.0,none
4793327233418050176,0.0,0.0,0.0,0.0,none
4805600119646735616,0.0,0.0,0.0,0.0,none
4657651793560005632,0.0,0.0,0.0,0.0,none
4803022688295732992,0.0,0.0,0.0,0.0,none
3008655553269260032,0.018221472072932173,9.516996212310129e-07,0.0014212748216887094,7.288592609378623e-05,Edenhofer
4808702322985185280,0.0,0.0,0.0,0.0,none
2907717843219726848,0.0,0.0,0.0,0.0,none
3015860275008838272,0.01685349901977541,7.2755059664469495e-06,0.001314572923542482,6.741638459340913e-05,Edenhofer
2903814611300494720,0.016797261893452518,6.218111447237979e-07,0.0013101864276892964,6.718906507943712e-05,Edenhofer
2904575778287587968,0.0,0.0,0.0,0.0,none
4801730010515510784,0.0,0.0,0.0,0.0,none
2999254213453678720,0.0,0.0,0.0,0.0,none
1115898478495886464,0.0,0.0,0.0,0.0,none
2898608526823037184,0.0,0.0,0.0,0.0,none
5261761930366088320,0.0,0.0,0.0,0.0,none
5484571119849822464,0.0,0.0,0.0,0.0,none
964177934129917696,0.0,0.0,0.0,0.0,none
2895507384340007936,0.0,0.0,0.0,0.0,none
5569783309659510400,0.0,0.0,0.0,0.0,none
1099288633074163328,0.0,0.0,0.0,0.0,none
5286760525517037568,0.01701668987384103,1.0156868699513071e-06,0.0013273018101596003,6.806680559990099e-05,Edenhofer
5491506843495850240,0.0,0.0,0.0,0.0,none
5285793436321718144,0.0,0.0,0.0,0.0,none
5288949863624851200,0.0,0.0,0.0,0.0,none
5213167330349528064,0.0,0.0,0.0,0.0,none
5221009695816673536,0.016309234566897656,2.1054684068752823e-06,0.0012721202962180172,6.523714497802973e-05,Edenhofer
5315595737654226304,0.0,0.0,0.0,0.0,none
5314991556010305024,0.02010478329085179,4.020350654754411e-06,0.0015681730966864399,8.041974456425838e-05,Edenhofer
5209037736474704512,0.025193102185539218,2.827754762250483e-06,0.001965061970472059,0.00010077265012174115,Edenhofer
5209038423669475712,0.025096325535709434,4.202163763690143e-06,0.001957513391785336,0.0001003858372415041,Edenhofer
5220352638838227584,0.0,0.0,0.0,0.0,none
5209118305765620096,0.025119228289823558,6.786158240025592e-06,0.0019592998066062374,0.00010047830740038155,Edenhofer
5704769390127988224,0.0,0.0,0.0,0.0,none
686170885812680832,0.0,0.0,0.0,0.0,none
5297100607744079872,0.023978723441650796,1.6538132994058967e-06,0.001870340428448762,9.591498051189718e-05,Edenhofer
5731289881171736832,0.0,0.0,0.0,0.0,none
5215814919990121856,0.021548305435923593,3.351591213358864e-05,0.0016807678240020403,8.623285760850851e-05,Edenhofer
5650465782142674944,0.0,0.0,0.0,0.0,none
5310606291358320512,0.0,0.0,0.0,0.0,none
5250988846733325312,0.018698354625756128,2.554002484728971e-06,0.0014584716608089779,7.479368380329138e-05,Edenhofer
5410009942142844032,0.0,0.0,0.0,0.0,none
5633901948708916352,0.0,0.0,0.0,0.0,none
5439029627401396096,0.0,0.0,0.0,0.0,none
5201932413160136064,0.02129289028236027,2.0457597836798645e-06,0.001660845442024101,8.517171060613877e-05,Edenhofer
