object,source_survey_name,source_survey_id,ref,Prot,e_Prot,ageMyr,e_ageMyr,TIC_ID,GaiaDR2_ID,GaiaDR3_ID,bp_rp,ebpminrp_gspphot,ruwe,parallax,bprp0
2MASS J02341866-5128462,2MASS,02341866-5128462,Mamonova2025,0.461,,45.0,,166787846.0,4.74545961674618e+18,4745459616746179200,3.1618586,,1.3272073,23.344019030778774,
2MASS J02344773-2222451,2MASS,02344773-2222451,Mamonova2025,0.54,,24.0,,64068679.0,5.126371500198662e+18,5126371500198661632,2.196085,,2.3329005,15.735458506058018,
2MASS J02365171-5203036,2MASS,02365171-5203036,Mamonova2025,0.739,,42.0,,166808151.0,4.745195905754074e+18,4745195905754074496,2.360097,,1.2651145,25.747189889502792,
2MASS J02371574-2222590,2MASS,02371574-2222590,Mamonova2025,3.89,,24.0,,64105291.0,5.125644108832905e+18,5125644108832905344,1.9004412,,13.762691,14.166594251616822,
2MASS J02383255-7528065,2MASS,02383255-7528065,Mamonova2025,0.632,,45.0,,238876720.0,4.640154440351269e+18,4640154440351268992,3.377059,,1.1602831,18.09614789636484,
2MASS J02412721-3049149,2MASS,02412721-3049149,Mamonova2025,0.524,,45.0,,122608433.0,5.065500341757331e+18,5065500341757331712,3.231391,,1.2279241,22.200903694045262,
2MASS J02414683-5259523,2MASS,02414683-5259523,Mamonova2025,0.56,,45.0,,166852312.0,4.742040410461492e+18,4742040410461492096,1.740201,,4.115048,22.93705092275966,
2MASS J02420204-5359147,2MASS,02420204-5359147,Mamonova2025,0.223,,45.0,,201898222.0,4.741424237273655e+18,4741424237273655040,3.2111578,,1.290258,23.687332109365578,
2MASS J02420404-5359000,2MASS,02420404-5359000,Mamonova2025,0.568,,45.0,,201898220.0,4.741424615230777e+18,4741424615230777216,3.1582594,,8.183479,23.70239517566476,
2MASS J02423301-5739367,2MASS,02423301-5739367,Mamonova2025,7.183,,45.0,,201919099.0,4.726518501732728e+18,4726518501732727936,1.5847492,0.0007,1.0008432,20.109069402954734,1.5840492
2MASS J02442137+1057411,2MASS,02442137+1057411,Mamonova2025,1.658,,24.0,,381131055.0,2.2338644598132096e+16,22338644598132096,1.9487095,,8.382321,20.777166793388957,
2MASS J02450826-0708120,2MASS,02450826-0708120,Mamonova2025,0.593,,24.0,,36762220.0,5.177677603263978e+18,5177677603263978880,3.1077318,,1.2990367,14.664856164420064,
2MASS J02474639-5804272,2MASS,02474639-5804272,Mamonova2025,10.274,,45.0,,201938513.0,4.72793583664407e+18,4727935836644070656,2.3938694,0.0007,1.4019355,22.41344583167375,2.3931694
2MASS J02485260-3404246,2MASS,02485260-3404246,Mamonova2025,0.451,,24.0,,122671519.0,5.050649616159457e+18,5050649616159457280,2.840517,,4.046501,23.984072349535484,
2MASS J02490228-1029220,2MASS,02490228-1029220,Mamonova2025,4.7,,24.0,,36831336.0,5.17282091866942e+18,5172820918669419520,2.2839203,,5.1987133,14.203929944521024,
2MASS J02492136-4416063,2MASS,02492136-4416063,Mamonova2025,2.387,,24.0,,146636926.0,4.947259307983421e+18,4947259307983420928,2.6860723,,1.2529931,31.58791236084246,
2MASS J02502222-6545552,2MASS,02502222-6545552,Mamonova2025,1.289,,45.0,,220523369.0,4.696042268497964e+18,4696042268497964032,2.803937,0.0005,1.467424,19.708997601203126,2.803437
2MASS J02505959-3409050,2MASS,02505959-3409050,Mamonova2025,0.49,,45.0,,178155030.0,5.050451154310013e+18,5050451154310013056,2.911603,,1.2897246,21.334865784158417,
2MASS J02523096-1548357,2MASS,02523096-1548357,Mamonova2025,5.8,,24.0,,30017457.0,5.156815675796805e+18,5156815675796804224,2.4201813,0.2969,10.730948,9.183608417562736,2.1232812
2MASS J02553178-5702522,2MASS,02553178-5702522,Mamonova2025,0.493,,45.0,,207138379.0,4.727920241619207e+18,4727920241619206912,3.2650442,,1.2711228,21.889704117483245,
2MASS J02560388-0036332,2MASS,02560388-0036332,Mamonova2025,1.06,,24.0,,439874904.0,2.4978585630881203e+18,2497858563088120448,3.388525,0.0001,1.3825071,61.867959111239614,3.388425
