name,role,binary_type,system_id,mass_msun,prot_days,age_min_gyr,age_c18_gyr,simbad_ra,simbad_dec,simbad_pmra,simbad_pmdec,simbad_parallax,simbad_resolved,ra_j2016,dec_j2016,n_gaia_matches,gaia_source_id,gaia_ra,gaia_dec,gaia_ang_sep_arcsec,gaia_parallax,gaia_parallax_error,gaia_parallax_over_error,gaia_pmra,gaia_pmdec,gaia_phot_g_mean_mag,gaia_bp_rp,gaia_ebpminrp_gspphot,gaia_teff_gspphot,gaia_ruwe,flag_multi_match,flag_high_ruwe,flag_no_ebpminrp,bprp0,elbadr_companion_source_id,sep_AU,R_chance_align,flag_in_elbadr
GJ 283 B,primary,WDM,GJ 283 B,0.1,,1.9,2.1,115.0807159367321,-17.41275359598222,1152.243,-536.412,109.2545,True,115.08608303775064,-17.415137577546183,2,5717278911884264576,115.0860829678518,-17.415137719851018,0.0005657713391763244,109.25448246098924,0.03917483985424042,2788.89404296875,1152.243039954044,-536.4117210908856,13.956890106201172,4.379336357116699,,,1.0867007970809937,True,False,True,,5.717278911884258e+18,186.00147916730558,5.46934159021083e-07,True
GJ 283 A,companion,WDM,GJ 283 B,,,1.9,2.1,115.08661944836254,-17.41365468543972,1138.69,-542.556,109.344,True,115.09192344701745,-17.41606597534536,1,5717278911884258304,115.09192337695882,-17.41606611553706,0.000559127862959078,109.34396565048813,0.018100515007972717,6040.931640625,1138.6898923486433,-542.5559019694444,12.970207214355469,0.34171199798583984,,,1.0221840143203735,False,False,True,,,,,False
GJ 754.1 B,primary,WDM,GJ 754.1 B,0.26,,1.1,1.2,290.1394114439,-7.662153470970002,-70.591,-177.974,95.1784,True,290.13909487908415,-7.662944466416201,2,4201781696994082944,290.13909487970443,-7.662944466801488,2.611789818748053e-06,95.1783951524141,0.031006021425127983,3069.674560546875,-70.59099363530763,-177.97403713224622,10.972156524658203,2.5618934631347656,0.0,3299.64306640625,1.169581651687622,True,False,False,2.5618934631347656,4.2017816969940736e+18,285.44335503518727,0.00029806876017736097,True
GJ 754.1 A,companion,WDM,GJ 754.1 B,,,1.1,1.2,290.14551220396,-7.666684988219999,-61.224,-161.846,95.1758,True,290.14523764250987,-7.667404303694229,2,4201781696994073472,290.1452376415212,-7.667404304342344,4.229249300210964e-06,95.17577811152343,0.029248245060443878,3254.068115234375,-61.224325393276594,-161.84610752063998,12.253493309020996,0.0367889404296875,,,1.0114262104034424,True,False,True,,4.201781696994083e+18,285.44335503518727,0.00029806876017736097,True
GJ 166 C,primary,WDM,GJ 166 C,0.24,,0.63,3.6,63.83973332536918,-7.655748493915556,-2247.183,-3409.824,199.4516,True,63.829655661887216,-7.670903149772026,1,3195919254111314944,63.82965602087436,-7.670903382610344,0.0015306955104851527,199.45161859738874,0.06920624524354935,2881.98876953125,-2247.1829426127065,-3409.8237087898747,9.775308609008789,2.989675521850586,,,1.5311920642852783,False,True,True,,,,,False
GJ 166 B,companion,WDM,GJ 166 C,,,0.63,3.6,63.84081549227875,-7.658112218552501,-2236.169,-3338.955,199.6911,True,63.830787173600136,-7.672951902209805,1,3195919254111315968,63.830787524383176,-7.672952135407352,0.0015070041561476113,199.6910732720413,0.05120331048965454,3899.964111328125,-2236.168749069785,-3338.9552892508973,9.542240142822266,-0.19100379943847656,,,1.195352554321289,False,False,True,,,,,False
GJ 169.1 B,primary,WDM,GJ 169.1 B,0.31,,2.8,3.1,67.80238099867749,58.978136863278614,1334.78,-1947.638,181.273,True,67.81388908364185,58.96948018387717,2,470826482637310848,67.81389197465391,58.969481205135885,0.0065039224458798735,181.2730074917688,0.020258579403162003,8947.962890625,1334.7796929514584,-1947.638150541708,12.336190223693848,0.44229984283447266,,,0.9263820648193359,True,False,True,,4.708264826373101e+17,56.62589368563058,1.3352505645765304e-08,True
GJ 169.1 A,companion,WDM,GJ 169.1 B,,,2.8,3.1,67.79797678916874,58.97707329124862,1300.365,-2046.106,181.2438,True,67.8091876697401,58.96797900231325,1,470826482637310080,67.80919062832808,58.967979971547436,0.00650560698485749,181.24383901243414,0.049853015691041946,3635.564208984375,1300.3647836025643,-2046.1055188965706,9.70256519317627,2.8958826065063477,,,1.2182512283325195,False,False,True,,4.7082648263731085e+17,56.62589368563058,1.3352505645765304e-08,True
G 271-110,primary,FGKM,G 271-110,0.31,1.06,,,24.22990229429,-6.79388956443,173.893,-99.901,41.6989,True,24.23068061807588,-6.794333568256924,1,2478001486169801216,24.230680617429513,-6.794333571507654,1.1928546750371933e-05,41.69892726044635,0.04456530511379242,935.681396484375,173.89301818462508,-99.90145357695323,12.708992958068848,2.8796167373657227,,,1.708186149597168,False,True,True,,2.477815222028038e+18,14726.224117080641,0.012333186249033507,True
HD 10008,companion,FGKM,G 271-110,,,,,24.39777825625,-6.760424979109999,171.798,-98.145,41.5636,True,24.398547149685857,-6.760861178510302,1,2477815222028038144,24.398547155959204,-6.760861184078484,3.0079738839284954e-05,41.56362142958949,0.023779209703207016,1747.8974609375,171.7982428481434,-98.1452316742261,7.4655303955078125,0.9709339141845703,0.0,5186.51025390625,0.9679045081138611,False,False,False,0.9709339141845703,,,,False
