name,source_id,role,binary_type,mass_msun,prot_days,parallax,bp_rp,ebpminrp_gspphot,ruwe,flag_high_ruwe,bprp0,age_gyr_cf,age_gyr_upper,age_gyr_lower
LHS 1376,4971869092631523200,,MM,0.27,3.023,74.63845724853431,2.9098177,0.0003,1.5084537,True,2.9095177,,,
2MASS J21005492-4131438,6773423224070637952,,MM,0.27,8.95,53.35361701891157,2.8340225,,1.1720746,False,2.8340225,,,
2MASS J21010380-4114331,6773453838597541760,,MM,0.2,1.059,53.26757820617179,2.9830103,,1.5659926,True,2.9830103,,,
G 115-68,811947078931179264,,MM,0.21,0.748,51.736767906469005,3.0485802,0.0003,1.3002204,True,3.0482801999999998,,,
G 115-69,811947108994206976,,MM,0.2,0.854,51.72688058788411,3.0823278,,1.2603511,True,3.0823278,,,
LP 167-64,830705262697930240,,MM,0.41,57.66,41.26924711164329,2.5925827,0.0001,1.450303,True,2.5924826999999997,,,
LP 167-63,830705297057680640,,MM,0.14,0.995,41.199463139231554,3.416315,,1.2029525,True,3.416315,,,
LP 613-49,3795993633527490560,,MM,0.36,11.76,53.13605503515882,2.8778238,0.0,1.3083901,True,2.8778238,,,
LP 613-50,3795993633527490304,,MM,0.12,1.66,53.01830200857152,3.806594,,1.1747273,False,3.806594,,,
G 116-72,808270896163474176,,MM,0.36,0.755,36.74719130705888,2.7466888,0.0,1.298905,True,2.7466888,,,
G 116-73,808270896163473920,,MM,0.33,0.974,36.7225166030608,2.8237638,,1.3086237,True,2.8237638,,,
GJ 669 A,4574048021719710848,,MM,0.44,20.51,92.98565081391038,2.680606,0.0,1.4012246,True,2.680606,,,
GJ 669 B,4574048021719712640,,MM,0.28,1.457,92.95830529602016,3.128108,,1.3778402,True,3.128108,,,
LHS 3808,2703757302393547392,,MM,0.33,94.0,42.64193087409584,2.7548304,,1.3250543,True,2.7548304,,,
LHS 3809,2703757298483054848,,MM,0.14,1.569,42.61184024700958,3.5394697,,1.1299324,False,3.5394697,,,
GJ 49,522863309964987520,,MM,0.59,19.0,101.42379529598418,2.1754298,0.0,1.0359348,False,2.1754298,,,
GJ 51,522864272041351296,,MM,0.2,1.024,101.37235858535028,3.305438,,1.0717231,False,3.305438,,,
SCR J1107-3420 B,5401688460176652544,primary,WDM,0.26,7.611,,3.1353073120117188,,,False,3.1353073120117188,,,
SCR J1107-3420 A,5401688425816913920,companion,WDM,,,38.1949865948946,-0.085270881652832,,1.053646683692932,False,-0.085270881652832,,,
LHS 2928,6272325816233230848,primary,WDM,0.25,126.233,30.928890319778876,2.8938770294189453,,5.506028652191162,True,2.8938770294189453,,,
LHS 2927,6272326022391660928,companion,WDM,,,30.706253163826453,1.156818389892578,,1.0461807250976562,False,1.156818389892578,,,
2MASS J23095781+5506472,1996725077535282944,primary,WDM,0.14,104.1,60.92132302167948,3.527838706970215,0.0013999999500811,1.1729120016098022,False,3.5264387070201337,,,
2MASS J23095848+5506491,1996725077535283200,companion,WDM,,,60.89459838316985,0.900766372680664,,1.0342177152633667,False,0.900766372680664,,,
G 68-34,2826254717479033344,primary,WDM,0.46,0.655,25.401530455000312,2.789584159851074,0.0020000000949949,1.4338939189910889,True,2.7875841597560793,,,
LP 463-28,2826254713186397440,companion,WDM,,,25.36664854580148,1.0112171173095703,,1.0447298288345337,False,1.0112171173095703,,,
GJ 1179 B,1251824057289839744,primary,WDM,0.12,,84.31052432709014,1.268906593322754,,1.013633131980896,False,1.268906593322754,,,
GJ 1179 A,1251824607045654016,companion,WDM,,,84.2246337028907,3.5297508239746094,,1.209258794784546,True,3.5297508239746094,,,
GJ 283 B,5717278911884264576,primary,WDM,0.1,,109.25448246098924,4.379336357116699,,1.0867007970809937,False,4.379336357116699,,,
GJ 283 A,5717278911884258176,companion,WDM,,,109.34396565048812,0.3417119979858398,,1.0221840143203735,False,0.3417119979858398,,,
GJ 754.1 B,4201781696994082944,primary,WDM,0.26,,95.1783951524141,2.5618934631347656,0.0,1.169581651687622,False,2.5618934631347656,,,
GJ 754.1 A,4201781696994073472,companion,WDM,,,95.17577811152344,0.0367889404296875,,1.0114262104034424,False,0.0367889404296875,,,
GJ 169.1 B,470826482637310848,primary,WDM,0.31,,181.2730074917688,0.4422998428344726,,0.926382064819336,False,0.4422998428344726,,,
GJ 169.1 A,470826482637310080,companion,WDM,,,181.2438390124341,2.895882606506348,,1.2182512283325195,True,2.895882606506348,,,
LP 12-72,2282846074981011328,,MM,0.53,1.05,52.839692674597124,2.7040024,0.0,1.2338614,True,2.7040024,,,
LP 12-90,2282790893241302144,,MM,0.16,1.044,52.8343025839604,3.7322187,0.0,1.2345679,True,3.7322187,,,
