object,source_survey_name,source_survey_id,ref,Prot,e_Prot,ageMyr,e_ageMyr,TIC_ID,GaiaDR2_ID,GaiaDR3_ID,bp_rp,ebpminrp_gspphot,ruwe,parallax,bprp0
2MASS J00240376+2626299,2MASS,J00240376+2626299,LWRD,29.84,0.3,3097.0,242.0,437762482.0,2855743172658367360,2855743172658367360,2.9504957,,12.394174,26.037556802745428,
2MASS J00273330-6157169,2MASS,00273330-6157169,Mamonova2025,0.55,,45.0,,231910539.0,4901934140151066624,4901934140151066624,3.0005732,,1.4242332,23.05053361054482,
2MASS J00275023-3233060,2MASS,00275023-3233060,Mamonova2025,4.902,,45.0,,251845153.0,2315841869173294080,2315841869173294080,2.6841574,,1.8057306,28.54764582026202,
2MASS J00281434-3227556,2MASS,00281434-3227556,Mamonova2025,0.522,,24.0,,251846450.0,2315849737553379840,2315849737553379840,3.3132763,,1.2196525,28.564846889620707,
2MASS J00284683-6751446,2MASS,00284683-6751446,Mamonova2025,0.6,,45.0,,38820496.0,4703815338965472768,4703815338965472768,3.3683004,0.0002,1.0783511,22.66799174107081,3.3681004
2MASS J00302572-6236015,2MASS,00302572-6236015,Mamonova2025,1.43,,45.0,,231914259.0,4900997562402605952,4900997562402605952,2.400735,,14.297866,22.344043765580963,
2MASS J00332438-5116433,2MASS,00332438-5116433,Mamonova2025,0.353,,45.0,,156002545.0,4926142568697429376,4926142568697429376,2.7194958,0.0006,1.5160424,24.18776601352676,2.7188957
2MASS J00345120-6154583,2MASS,00345120-6154583,Mamonova2025,0.377,,45.0,,425940082.0,4901802507993393664,4901802507993393664,1.4656391,0.0005,2.0809088,22.512490562727425,1.4651392
2MASS J00393579-3816584,2MASS,00393579-3816584,Mamonova2025,6.314,,45.0,,117874959.0,5000558443376465408,5000558443376465408,2.2831287,,1.2757765,24.94921410589065,
2MASS J00394063-6224125,2MASS,00394063-6224125,Mamonova2025,0.381,,45.0,,234495456.0,4902468056125369856,4902468056125369856,3.4754305,0.0015,1.2006757,26.631596110171053,3.4739306
2MASS J00421010-5444431,2MASS,00421010-5444431,Mamonova2025,1.78,,45.0,,281670243.0,4920732799689111424,4920732799689111424,2.7417517,0.0035,1.5789168,22.784885152259278,2.7382517
2MASS J00421092-4252545,2MASS,00421092-4252545,Mamonova2025,3.734,,45.0,,80427281.0,4980868526585951232,4980868526585951232,2.416603,0.0415,1.2922881,18.92051063525258,2.375103
2MASS J00422033-7747397,2MASS,00422033-7747397,Mamonova2025,2.6,,45.0,,394210384.0,4635593356881798912,4635593356881798912,1.3110018,0.2012,0.9761378,20.083511966406803,1.1098018
2MASS J00425349-6117384,2MASS,00425349-6117384,Mamonova2025,1.04,,45.0,,234497476.0,4903337254427228544,4903337254427228544,3.2750368,,1.3223504,23.077307244643713,
2MASS J00485254-6526330,2MASS,00485254-6526330,Mamonova2025,1.006,,45.0,,234506344.0,4708637693885643136,4708637693885643136,2.7770329,,1.1752119,20.428948980695818,
2MASS J00493566-6347416,2MASS,00493566-6347416,Mamonova2025,4.963,,45.0,,234506911.0,4709760363977074176,4709760363977074176,2.3277388,0.0011,1.1108044,21.785076071547483,2.3266387
2MASS J00501752+0837341,2MASS,00501752+0837341,Mamonova2025,1.02,,24.0,,266011945.0,2581708281894978176,2581708281894978176,3.0011225,,2.0901017,16.311295604076008,
2MASS J01033563-5515561,2MASS,01033563-5515561,Mamonova2025,0.167,,45.0,,206502540.0,4914632365579875200,4914632365579875200,3.4417458,,,,
