source_paper,star_name,source_id,ra,dec,pmra,pmdec,prot_days,age_gyr,age_err_lo_gyr,age_err_hi_gyr,age_method,parallax,parallax_error,bp_rp,bp_rp_0,ebpminrp_gspphot,ruwe,high_ruwe,phot_g_mean_mag,binary_type,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,flag_outside_mann_range,mass_msun,mass_msun_err_lo,mass_msun_err_hi,tau_ce_days,rossby_number,tau_ce_err_days
Engle2023,LP 856-54,6177238671977086976,207.84714554547432,-27.56544382050014,71.41615057467749,-197.3124498723812,23.27,2.52,0.61,1.58,wd_companion,26.680999777856275,0.01839942,2.1447048,,,1.126384,0.0,11.630171,,13512321-2733519,8.407,0.027,0.0,0.0,8.407,5.538010496138407,False,0.5193549226984575,0.0126288393532504,0.0128095847835404,66.1262758345161,0.3519024730537403,4.843063466269282
Engle2023,G59-39,3930922058356113408,191.80432988339743,14.70456384640075,-354.72242963953374,149.3099996312833,33.82,3.2,0.93,1.96,wd_companion,16.49849612789839,0.021312071,1.9908485,,,1.2233597,1.0,12.7773905,,12471348+1442137,9.7,0.017,0.0,0.0,9.7,5.787221795881322,False,0.478988132307942,0.0111205587273232,0.0111809501020828,73.08954717688002,0.4627200647194334,5.3476483461507245
Engle2023,G111-72,908364387441657600,125.01659129695626,38.57694746083617,-181.91045107088627,-256.6081431554214,38.96,3.64,0.68,1.35,wd_companion,22.52434660109524,0.018565306,2.1550112,2.1548111,0.0002,1.3057456,1.0,12.280472,,08200425+3834415,9.059,0.016,0.0,0.0,9.059,5.822261007877117,False,0.4732298656022023,0.0108777294913321,0.0110028024984898,74.08284818362011,0.5258977071647489,5.419626679972471
Engle2023,HIP 43232 B,661794060190112000,132.10361650906583,20.705080361504653,-45.93470560864445,-34.74176155758028,41.3,3.95,0.35,0.35,ms_companion,13.60968072696216,0.018508242,2.3056383,2.1744382,0.1312,1.1696215,0.0,13.873146,,08482492+2042188,10.511,0.019,0.0023521433553056,0.0001206228259339,10.508647856644693,6.177887542123177,False,0.4147443901517585,0.0096739487646292,0.0098043055548971,97.96113844064716,0.4215957537592614,7.204857763616505
Engle2023,LP 587-54,2485305370114328576,20.81637020647648,-2.145728135802783,233.95583014880245,37.65201503804685,59.5,6.34,1.38,1.49,wd_companion,23.15136954730829,0.03186558,2.1909456,,,1.5598187,1.0,11.71621,,01231565-0208453,8.412,0.019,0.0,0.0,8.412,5.234883436650138,False,0.5667651729717211,0.0136701417381885,0.0137981688489496,53.4285174706401,1.1136374883075555,3.54927096760709
Engle2023,GJ 366,1130450270073924608,146.70363523803653,76.03947042549247,87.3667512611242,-1000.440301995851,87.1,9.5,1.5,1.5,kinematics,63.325063023847214,0.01529024,2.1100636,,,1.0442513,0.0,9.792734,,09464844+7602388,6.629,0.024,0.0,0.0,6.629,5.636878153457456,False,0.5034787182624294,0.0120420752015418,0.0121532886254976,68.86492109973094,1.2647948855391966,5.041516021719633
Engle2023,GJ 328,577602496345490176,133.78195701408768,1.5418558693942337,44.94399530668833,-1045.8758431663468,80.5,9.5,1.5,1.5,kinematics,48.74043421971609,0.018374817,1.8323879,1.831888,0.0005,1.0623425,0.0,9.289488,,08550761+0132472,6.352,0.026,0.0,0.0,6.352,4.79144696958479,False,0.6320599713851995,0.015464085265172,0.0156605295772898,40.47728279607479,1.988769859023401,2.174820290235833
Engle2023,GJ 2131 A,4149820284980988928,266.4725484874863,-13.305792976227098,55.256704877381786,92.75019370374528,34.82,3.47,1.69,1.69,wd_companion,25.77943179786204,0.0309294052422046,1.8886852264404297,,,1.4233086109161377,1.0,11.218145370483398,,17455334-1318223,8.255,0.024,0.0,0.0,8.255,5.311366704386265,False,0.5549507860275433,0.0134541652831104,0.0136396961839523,56.91882492786292,0.6117483986032696,3.922268041130418
Engle2023,LHS 343,3931313793733240832,194.0967075237245,15.68989248656627,-478.4577927373973,-1311.280499852875,89.2,11.5,1.5,1.0,kinematics,17.38785833074205,0.015066933,1.6538906,1.6534907,0.0004,1.1211435,0.0,13.252852,,12562380+1541471,10.664,0.018,0.0,0.0,10.664,6.865230465384533,False,0.3078090130858524,0.0071961127206307,0.0073313302129378,229.57826179632687,0.3885385284393122,45.79258626923159
Engle2023,LHS 173,222749343414443648,52.227698158214295,37.37771073269072,1122.1763715002862,-1065.6656513527057,85.3,11.5,1.5,1.0,kinematics,36.90719800007177,0.0226272,1.6685028,,,1.2250491,1.0,10.503306,,03285302+3722579,7.788,0.02,0.0,0.0,7.788,5.623555373729667,False,0.5055895432920696,0.0119308646505429,0.0120304012569338,68.500803782118,1.24524086273959,5.01513070884913
Engle2023,LHS 174,220989197096055040,52.68941572208075,34.01200058890383,497.8823177377405,-1499.3112796933915,90.4,11.5,1.5,1.0,kinematics,36.65443101768253,0.033869635,1.9101763,,,1.2666509,1.0,12.035498,,03304474+3401100,9.143,0.018,0.0,0.0,9.143,6.963632411967495,False,0.2939360232001125,0.0069071375420009,0.0069658476943776,237.05182239945043,0.3813512129329641,48.83150916971537
Engle2023,NSV 11919,4201781696994082816,290.13909487970443,-7.662944466801488,-70.59099363530763,-177.97403713224622,21.07,1.97,0.35,0.98,wd_companion,95.1783951524141,0.031006021,2.5618935,,,1.1695817,0.0,10.972157,,19203346-0739435,7.414,0.02,0.0,0.0,7.414,7.306691888407051,False,0.2490919692853093,0.0059343266635009,0.0060158586770955,216.9504752321399,0.09711893913786,42.70469030360538
Engle2023,Gaia DR3 75525a,4021565827014024704,176.48532004722605,31.824025919704592,-154.188317838324,-262.4732515214976,20.6,1.98,0.39,1.01,wd_companion,31.91490983810673,0.0293080136179924,-0.1680593490600586,,,1.156918168067932,0.0,13.706892013549805,,11455599+3149316,9.141,0.019,0.0,0.0,9.141,6.660968109273577,False,0.3380526617564447,0.0079468594588869,0.0080580314543243,190.1065198251201,0.1083603025238168,30.81441926512075
Engle2023,G148-6,4021566209266336768,176.4823529618982,31.82410244585442,-165.4478216855959,-260.0135252445386,22.7,2.2,0.57,1.35,wd_companion,31.63887765400161,0.3642143,2.692481,,,18.951975,1.0,12.808223,,11455599+3149316,9.141,0.019,0.0,0.0,9.141,6.642105345474715,False,0.340878303400091,0.0088329744562479,0.0089779344636063,186.4187042749562,0.1217688970014451,29.415020241104923
Engle2023,GJ 821,6885776098199760896,317.32587881622555,-13.31137231459359,715.0641543639571,-1995.4456205314848,86.2,9.5,1.5,1.5,kinematics,84.44018320948496,0.025683865,2.1156511,2.115251,0.0004,1.0270468,0.0,10.027026,,21091740-1318080,6.909,0.029,0.0,0.0,6.909,6.541745834617105,False,0.3563444457961768,0.0089467930626312,0.0091260792122553,166.23345518026474,0.5185478452969897,21.755413219443437
Engle2023,LP 783-2,5717278911884264448,115.0860829678518,-17.415137719851018,1152.243039954044,-536.4117210908856,25.45,3.12,0.56,1.73,wd_companion,109.25448246098924,0.03917484,4.3793364,,,1.0867008,0.0,13.95689,,07401922-1724449,9.291,0.021,0.0,0.0,9.291,9.48319632057559,False,0.0982507497493852,0.002376172218577,0.0024128150631293,214.59,0.1185982571415256,30.9
Mamonova2025,2MASS J00125703-7952073,4634515972925619968,3.23975038566,-79.8689025224,,,1.97,0.045,0.009,0.009,association,21.438033669287588,0.0167,2.5500946,2.5351946,0.0149,1.3387355,True,,,00125703-7952073,8.753,0.019,0.0,0.0,8.753,5.408924743317192,False,0.5398237640100811,0.0128658303420887,0.0129812825622369,61.38777943245032,0.0320910777065611,4.399849736253153
Mamonova2025,2MASS J00144767-6003477,4905813212878537216,3.69944110272,-60.06352754344,,,0.487,0.045,0.009,0.009,association,23.11720994589449,0.181,2.82343,2.82343,0.0,10.291623,True,,,00144767-6003477,8.834,0.019,0.0,0.0,8.834,5.6536770859784795,False,0.5007418049839778,0.0120200317352592,0.0121905227256933,69.33703864026384,0.0070236631034484,5.0757274377002775
Mamonova2025,2MASS J00152752-6414545,4900372657545000192,3.86546478009,-64.24878849113,,,3.708,0.045,0.009,0.009,association,20.96968057647724,0.0142,2.341236,2.3397362,0.0015,1.1015377,False,,,00152752-6414545,8.443,0.021,0.0,0.0,8.443,5.050959075328654,False,0.5943465626752134,0.014538166937837,0.0145991162221376,45.28018691252268,0.0818901213275362,2.6784870926825493
Mamonova2025,2MASS J00155556-6137519,4904674604163917696,3.98217734548,-61.6312818939,,,2.633,0.045,0.009,0.009,association,18.20790779337616,0.013,2.7111025,,,1.1905901,False,,,00155556-6137519,9.77,0.021,0.0,0.0,9.77,6.071300227054312,False,0.4322371406489654,0.0101629041966349,0.0102240790590205,81.15409323805348,0.0324444509813754,5.932035741887932
Mamonova2025,2MASS J00172353-6645124,4707563810327288192,4.34924707953,-66.75350046273,,,6.575,0.024,0.003,0.003,association,27.15664972613236,0.0171,2.476882,,,0.9501123,False,,,00172353-6645124,7.703,0.021,0.0,0.0,7.703,4.872380953373547,False,0.6204959342602849,0.0150660013505912,0.0152141284369575,41.6072544237093,0.1580253273393913,2.2921126667885385
Mamonova2025,2MASS J00235732-5531435,4920061410401733632,5.98963266605,-55.52905808416,,,0.651,0.045,0.009,0.009,association,24.03124381803308,0.0279,3.3166113,,,1.3542836,True,,,00235732-5531435,10.245,0.021,0.0,0.0,10.245,7.148881248802793,False,0.2689705341022746,0.0064745573870913,0.0065545584527307,225.8610419113446,0.0028823031829257,45.420599221723265
LWRD,2MASS J00240376+2626299,2855743172658367360,6.01650760983,26.44135299223,,,29.84,3.097,0.242,0.242,association,26.037556802745428,0.2182,2.9504957,,,12.394174,True,,,00240376+2626299,9.299,0.017,0.0,0.0,9.299,6.377001152002628,False,0.3824010284348593,0.0092834296100751,0.0094012586848017,132.77553299271747,0.2247402012058703,9.844076079715482
Mamonova2025,2MASS J00273330-6157169,4901934140151066624,6.88961043199,-61.95494892747,,,0.55,0.045,0.009,0.009,association,23.05053361054482,0.0168,3.0005732,,,1.4242332,True,,,00273330-6157169,9.468,0.024,0.0,0.0,9.468,6.281404917919591,False,0.3978681881031188,0.0095453808906257,0.0096537208450229,116.12668232580292,0.0047362069507585,8.581955850785505
Mamonova2025,2MASS J00275023-3233060,2315841869173294080,6.95988594998,-32.55196152819,,,4.902,0.045,0.009,0.009,association,28.54764582026202,0.039,2.6841574,,,1.8057306,True,,,00275023-3233060,8.012,0.033,0.0,0.0,8.012,5.28985149996278,False,0.5582815499376703,0.0139846677002019,0.0142187842041446,55.93482210412826,0.0876377150333014,3.817111066253552
Mamonova2025,2MASS J00281434-3227556,2315849737553379840,7.06038555329,-32.46564843528,,,0.522,0.024,0.003,0.003,association,28.564846889620707,0.0239,3.3132763,,,1.2196525,True,,,00281434-3227556,9.278,0.021,0.0,0.0,9.278,6.557159502709068,False,0.3539978246647809,0.0084202317180423,0.0085299988083841,169.2960890843778,0.0030833553381131,22.91757733476725
Mamonova2025,2MASS J00284683-6751446,4703815338965472768,7.19630973158,-67.86263446044,,,0.6,0.045,0.009,0.009,association,22.66799174107081,0.024,3.3683004,3.3681004,0.0002,1.0783511,False,,,00284683-6751446,10.5,0.019,0.0,0.0,10.5,7.277065228686178,False,0.2527504011860365,0.0059997999780798,0.0060234265505902,218.5903673316409,0.0027448602027814,43.20452356204223
Mamonova2025,2MASS J00332438-5116433,4926142568697429376,8.35231554572,-51.2789887929,,,0.353,0.045,0.009,0.009,association,24.18776601352676,0.0261,2.7194958,2.7188957,0.0006,1.5160424,True,,,00332438-5116433,9.011,0.023,0.0,0.0,9.011,5.928978793483459,False,0.4556830545694669,0.0107696333413621,0.0109527951839082,77.10967308676696,0.004577895170205,5.638961817881664
Mamonova2025,2MASS J00393579-3816584,5000558443376465408,9.89972751906,-38.28321827522,,,6.314,0.045,0.009,0.009,association,24.94921410589065,0.0265,2.2831287,,,1.2757765,True,,,00393579-3816584,7.861,0.02,0.0,0.0,7.861,4.846284350027389,False,0.6242242004711844,0.0151479349654184,0.0153039007489831,41.24294955395855,0.1530928332790392,2.254297395220844
Mamonova2025,2MASS J00394063-6224125,4902468056125369856,9.92046982374,-62.40372745527,,,0.381,0.045,0.009,0.009,association,26.631596110171053,0.0239,3.4754305,3.4739306,0.0015,1.2006757,True,,,00394063-6224125,10.376,0.021,0.0,0.0,10.376,7.502985978846445,False,0.2262206050667453,0.0054453848748451,0.0055069200459145,206.69838622116856,0.0018432654795491,39.57989016724407
Mamonova2025,2MASS J00421010-5444431,4920732799689111424,10.54282256295,-54.74558717974,,,1.78,0.045,0.009,0.009,association,22.78488515225928,0.0241,2.7417517,2.7382517,0.0035,1.5789168,True,,,00421010-5444431,8.932,0.023,0.0,0.0,8.932,5.720234219263007,False,0.4899507970528797,0.0116401732610176,0.0116800749936706,71.19848750837826,0.0250005310827781,5.210615036839004
Mamonova2025,2MASS J00421092-4252545,4980868526585951232,10.54601906245,-42.88200787565,,,3.734,0.045,0.009,0.009,association,18.92051063525258,0.0229,2.416603,2.375103,0.0415,1.2922881,True,,,00421092-4252545,8.755,0.021,0.0,0.0,8.755,5.139664265793954,False,0.5811308121098233,0.0141013165202127,0.0142707290428623,49.1844972224122,0.0759182305577885,3.095727217675578
