moca_oid,GaiaDR3_ID,twomass_id,moca_aid,moca_mtid,designation,ra,dec,spectral_type,banyan_prob,gmag,rmag,bmag,parallax_mas,prot_days,age_string_myr,age_myr,age_myr_unc,age_myr_unc_pos,age_myr_unc_neg,k_m,k_cmsig,k_msigcom,k_snr,bp_rp,ebpminrp_gspphot,ruwe,parallax,bprp0
3944928,604894917568011520,08512820+1134354,NGC2682,CM,Gaia DR3 604894917568011520,132.8674758,11.5764577,(M0.6),98.4817,18.35678,17.33657,19.40828,0.7768969027936817,111.0,~4000,4168.7,,,,15.087,0.1231,0.1234,9.26,2.071186,0.11,1.0018629,0.7768969027936817,1.961186
3945140,604912608537595008,08503128+1143208,NGC2682,CM,Gaia DR3 604912608537595008,132.6302926,11.722492,(M0.7),98.9603,18.30233,17.27983,19.37054,0.9673962688068342,22.4,~4000,4168.7,,,,14.933,0.0938,0.0942,11.05,2.0904446,0.1355,0.98391604,0.9673962688068342,1.9549446
3945321,604921164112524800,08512480+1151492,NGC2682,CM,Gaia DR3 604921164112524800,132.8532874,11.8637059,(M0.7),99.7628,18.32358,17.29824,19.45157,1.1775701740570803,40.3,~4000,4168.7,,,,15.083,0.1201,0.1204,9.29,2.1532097,0.2124,1.0259048,1.1775701740570803,1.9408097
3944236,604698860900256256,08523858+1123520,NGC2682,CM,Gaia DR3 604698860900256256,133.1607328,11.3977753,(M0.8),99.4916,18.36794,17.34084,19.61157,1.03240323811989,76.0,~4000,4168.7,,,,15.057,0.1039,0.1043,10.56,2.271307,0.2382,1.0740764,1.03240323811989,2.033107
3944273,604713532508424448,08525381+1140163,NGC2682,CM,Gaia DR3 604713532508424448,133.224232,11.671197,(M0.8),99.322,18.50593,17.478,19.69777,1.3818849920178804,30.7,~4000,4168.7,,,,15.764,0.1964,0.1966,5.51,2.2196426,0.1774,1.0693272,1.3818849920178804,2.0422425
3944997,604900754427832448,08523824+1139356,NGC2682,CM,Gaia DR3 604900754427832448,133.159314,11.6598339,(M0.8),95.8635,18.26872,17.2407,19.30651,0.976326326970428,11.4,~4000,4168.7,,,,15.072,0.1031,0.1035,10.41,2.0663414,0.1632,0.9589683,0.976326326970428,1.9031414
3944941,604896115863131776,08510334+1136134,NGC2682,CM,Gaia DR3 604896115863131776,132.7638726,11.60374,(M0.8),89.5604,18.36681,17.33745,19.47119,1.2490931943232348,48.2,~4000,4168.7,,,,15.024,0.1114,0.1117,9.81,2.134365,0.2454,1.0514002,1.2490931943232348,1.8889651
3945272,604918900665305600,08520732+1151313,NGC2682,CM,Gaia DR3 604918900665305600,133.0303893,11.8588025,(M0.9),99.9316,18.47075,17.4347,19.57816,1.1657274094912444,33.6,~4000,4168.7,,,,15.413,0.1646,0.1648,6.86,2.1437435,0.1822,0.9772798,1.1657274094912444,1.9615436
3945077,604907523302217472,08505465+1136407,NGC2682,CM,Gaia DR3 604907523302217472,132.7277393,11.6113002,(M0.9),99.7443,18.24799,17.21164,19.18982,1.160573110049309,30.5,~4000,4168.7,,,,14.919,0.1073,0.1076,10.81,1.9789867,0.1064,1.0151076,1.160573110049309,1.8725867
3945429,604938859377134080,08533298+1201438,NGC2682,CM,Gaia DR3 604938859377134080,133.3873361,12.0288668,(M1.0),95.2742,18.50723,17.46679,19.6589,1.0928669313434862,23.8,~4000,4168.7,,,,15.388,0.1607,0.1609,8.06,2.1932983,0.0436,1.024414,1.0928669313434862,2.1496983
3945530,604960609092133248,08500947+1147380,NGC2682,CM,Gaia DR3 604960609092133248,132.5394465,11.7938661,(M1.0),99.5733,18.32849,17.28677,19.47234,1.3562326970499377,51.8,~4000,4168.7,,,,14.889,0.0991,0.0995,11.5,2.1860943,0.2976,0.98743695,1.3562326970499377,1.8884943
3945748,604993869318584960,08502528+1215532,NGC2682,CM,Gaia DR3 604993869318584960,132.6053108,12.264785,(M1.0),99.7428,18.4586,17.41579,19.51061,1.0482389144537398,36.9,~4000,4168.7,,,,15.189,0.116,0.1163,9.68,2.094822,0.1227,1.0184648,1.0482389144537398,1.972122
3960915,608211624457512448,08501366+1313579,NGC2682,CM,Gaia DR3 608211624457512448,132.5569197,13.2327177,(M1.1),73.5257,17.83263,16.78862,19.00261,1.2278831058192436,5.055325933516681,~4000,4168.7,,,,14.287,0.0567,0.0573,22.21,2.2140045,0.2303,1.0319233,1.2278831058192436,1.9837046
3945105,604909928477987584,08511074+1141240,NGC2682,CM,Gaia DR3 604909928477987584,132.7948836,11.690057,(M1.1),99.8757,18.74445,17.69986,19.91118,1.0834443460558143,49.2,~4000,4168.7,,,,15.504,0.1706,0.1708,6.31,2.2107124,0.0746,1.0332001,1.0834443460558143,2.1361125
3945021,604903331408222208,08515735+1141297,NGC2682,CM,Gaia DR3 604903331408222208,132.9890191,11.6915535,(M1.1),99.8708,18.45948,17.41266,19.58638,1.1247664383860094,31.6,~4000,4168.7,,,,15.36,0.1525,0.1527,7.2,2.1733036,0.1564,1.0622226,1.1247664383860094,2.0169036
3960799,607994986306236928,08493127+1213263,NGC2682,CM,Gaia DR3 607994986306236928,132.3803031,12.2239082,(M1.1),98.7361,18.61153,17.56393,19.8082,0.9103065645742816,26.9,~4000,4168.7,,,,15.292,0.1166,0.1169,8.8,2.2438831,0.2088,1.0182453,0.9103065645742816,2.035083
3945018,604902987810825728,08515125+1139357,NGC2682,CM,Gaia DR3 604902987810825728,132.9635726,11.6599384,(M1.1),99.8864,18.67521,17.627,19.8624,1.0106516279552342,31.5,~4000,4168.7,,,,15.342,0.1505,0.1507,7.32,2.234892,0.3179,0.998483,1.0106516279552342,1.916992
3945664,604973562713585792,08502684+1158449,NGC2682,CM,Gaia DR3 604973562713585792,132.6119338,11.9791569,(M1.2),99.4693,18.81994,17.76981,20.10656,0.9583740922197376,153.0,~4000,4168.7,,,,15.267,0.1358,0.1361,8.12,2.3358746,0.317,0.99830705,0.9583740922197376,2.0188746
3945763,604996106997220480,08513993+1205262,NGC2682,CM,Gaia DR3 604996106997220480,132.9164067,12.0907148,(M1.2),99.8535,18.74115,17.69054,19.80488,1.0720768525607207,109.0,~4000,4168.7,,,,15.12,0.1186,0.1189,10.31,2.113165,0.0724,1.0308882,1.0720768525607207,2.0407648
