source_paper,star_name,normalized_name,age_gyr,age_gyr_err_plus,age_gyr_err_minus,age_note_ref,prot_days,prot_err_plus,prot_err_minus,age_err_hi_gyr,age_err_lo_gyr
Engle_2024,YZ CMi (GJ 285),YZ CMi,,,,,2.78,,,,
Engle_2024,EPIC 204957517,EPIC 204957517,,,,,2.82,,,,
Engle_2024,LP 331-57A,LP 331-57A,,,,,14.54,,,,
Engle_2024,UCAC4 617-130729,UCAC4 617-130729,,,,,14.75,,,,
Engle_2024,HAT 122-01032,HAT 122-01032,,,,,4.38,,,,
Engle_2024,UCAC3 242-88245,UCAC3 242-88245,,,,,15.1,,,,
Engle_2024,EPIC 206262336,EPIC 206262336,,,,,9.71,,,,
Engle_2024,HG 8-1,HG 8-1,,,,,17.57,,,,
Engle_2024,EPIC 201482319,EPIC 201482319,,,,,11.68,,,,
Engle_2024,G 74-25,G 74-25,,,,,15.29,,,,
Engle_2024,UCAC4 619-055248,UCAC4 619-055248,,,,,19.84,,,,
Engle_2024,Ross 868 (GJ 669A),Ross 868,,,,,20.95,,,,
Engle_2024,UCAC4 692-060564,UCAC4 692-060564,,,,,21.52,,,,
Engle_2024,GJ 4334,GJ 4334,,,,,23.54,,,,
Engle_2024,CD-40 5404B (GJ 358),CD-40 5404B,,,,,25.26,,,,
Engle_2024,LP 167-71,LP 167-71,,,,,27.82,,,,
Engle_2024,2MASS J00240376+2626299,2MASS J00240376+2626299,,,,,29.84,,,,
Engle_2024,1RXS J075235.5+410055,1RXS J075235.5+410055,,,,,30.33,,,,
Engle_2024,1RXS J174158.2+475403,1RXS J174158.2+475403,,,,,32.23,,,,
Engle_2024,GJ 674,GJ 674,,,,,33.29,,,,
Engle_2024,2MASS J06170531+8353354,2MASS J06170531+8353354,,,,,40.75,,,,
Engle_2024,2MASS J20125995+0112584,2MASS J20125995+0112584,,,,,41.15,,,,
Engle_2024,GJ 752A,GJ 752A,,,,,46.6,,,,
Engle_2024,GJ 588,GJ 588,,,,,51.7,,,,
Engle_2024,2MASS J06575703+6219197,2MASS J06575703+6219197,,,,,54.5,,,,
Engle_2024,2MASS J16492028+5101177,2MASS J16492028+5101177,,,,,54.71,,,,
Engle_2024,GJ 163,GJ 163,,,,,56.04,,,,
Engle_2024,2MASS J05011802+2237015,2MASS J05011802+2237015,,,,,70.67,,,,
Engle_2024,2MASS J19310458-0306186,2MASS J19310458-0306186,,,,,70.92,,,,
Engle_2024,GJ 436,GJ 436,,,,,71.4,,,,
Engle_2024,2MASS J13505181+3644168,2MASS J13505181+3644168,,,,,72.18,,,,
Engle_2024,2MASS J17311725+8205198,2MASS J17311725+8205198,,,,,79.22,,,,
Engle_2024,GJ 3253,GJ 3253,,,,,81.55,,,,
Engle_2024,2MASS J03103891+2540535,2MASS J03103891+2540535,,,,,82.83,,,,
Engle_2024,GJ 357,GJ 357,,,,,86.1,,,,
Engle_2024,G 184-31,G 184-31,,,,,86.25,,,,
Engle_2024,EPIC 206019392 (G 876),EPIC 206019392,,,,,87.95,,,,
Engle_2024,GJ 551,GJ 551,,,,,88.98,,,,
Engle_2024,2MASS J18551471-7115026,2MASS J18551471-7115026,,,,,90.69,,,,
Engle_2024,2MASS J14211512-0107199,2MASS J14211512-0107199,,,,,91.41,,,,
Engle_2024,2MASS J05015746-0656459,2MASS J05015746-0656459,,,,,92.15,,,,
Engle_2024,2MASS J19194119-5955194,2MASS J19194119-5955194,,,,,92.69,,,,
Engle_2024,2MASS J23351050-0223214,2MASS J23351050-0223214,,,,,100.4,,,,
Engle_2024,GJ 667C,GJ 667C,,,,,103.1,,,,
Engle_2024,2MASS J20403364+1529572,2MASS J20403364+1529572,,,,,104.6,,,,
Engle_2024,GJ 628,GJ 628,,,,,108.7,,,,
Engle_2024,EPIC 201518346,EPIC 201518346,,,,,112.83,,,,
Engle_2024,EPIC 205913009 (GJ 1265),EPIC 205913009,,,,,116.4,,,,
Engle_2024,2MASS J11505787+4822395,2MASS J11505787+4822395,,,,,117.5,,,,
Engle_2024,GJ 447,GJ 447,,,,,124.95,,,,
Engle_2024,2MASS J19204795-4533283,2MASS J19204795-4533283,,,,,133.9,,,,
Engle_2024,GJ 699,GJ 699,,,,,149.5,,,,
Engle_2024,GJ 273,GJ 273,,,,,160.83,,,,
Engle_2024,GJ 581,GJ 581,,,,,147.8,,,,
Engle_2024,GJ 191,GJ 191,,,,,153.2,,,,
Engle_2024,au Mic,au Mic,,,,,4.86,,,,
Engle_2024,HIP 23309,HIP 23309,,,,,8.6,,,,
Engle_2024,GJ 410,GJ 410,,,,,14.52,,,,
Engle_2024,GJ 49,GJ 49,,,,,19.45,,,,
Engle_2024,GJ 649,GJ 649,,,,,21.42,,,,
Engle_2024,GJ 3470,GJ 3470,,,,,21.54,,,,
Engle_2024,GJ 887,GJ 887,,,,,33.0,,,,
Engle_2024,GJ 205,GJ 205,,,,,33.72,,,,
Engle_2024,GJ 832,GJ 832,,,,,38.1,,,,
Engle_2024,GJ 176,GJ 176,,,,,39.3,,,,
Engle_2024,GJ 15A,GJ 15A,,,,,50.69,,,,
Engle_2024,GJ 411,GJ 411,,,,,56.15,,,,
Engle_2024,AD Leo (GJ 388),AD Leo,,,,,2.24,,,,
Engle_2024,HIP 112312,HIP 112312,,,,,2.355,,,,
Engle_2024,YZ CMi (GJ 285),YZ CMi,,,,,2.7758,,,,
Engle_2024,GJ 729,GJ 729,,,,,2.9,,,,
Engle_2024,HIP 17695,HIP 17695,,,,,3.87,,,,
Engle_2024,EV Lac (GJ 873),EV Lac,,,,,4.3715,,,,
Engle_2024,GJ 4334,GJ 4334,,,,,23.54,,,,
Engle_2024,LHS 2686,LHS 2686,,,,,28.8,,,,
Engle_2024,GJ 674,GJ 674,,,,,33.3,,,,
Engle_2024,GJ 163,GJ 163,,,,,56.04,,,,
Engle_2024,GJ 588,GJ 588,,,,,61.3,,,,
Engle_2024,GJ 436,GJ 436,,,,,71.4,,,,
Engle_2024,GJ 849,GJ 849,,,,,71.95,,,,
Engle_2024,GJ 876,GJ 876,,,,,87.3,,,,
Engle_2024,Proxima Cen (GJ 551),Proxima Cen,,,,,88.98,,,,
Engle_2024,GJ 667C,GJ 667C,,,,,103.1,,,,
Engle_2024,GJ 1214,GJ 1214,,,,,125.0,,,,
Engle_2024,GJ 1132,GJ 1132,,,,,129.15,,,,
Engle_2024,GJ 581,GJ 581,,,,,132.5,,,,
Engle_2024,Barnard's Star (GJ 699),Barnard's Star,,,,,149.5,,,,
Engle_2024,Luyten's Star (GJ 273),Luyten's Star,,,,,160.83,,,,
Engle_2024,Kapteyn's Star (GJ 191),Kapteyn's Star,,,,,153.2,,,,
Engle_2024,GJ103,GJ103,,,,,1.56,,,,
Engle_2024,Pleiades,Pleiades,,,,,,,,,
Engle_2024,GJ 494,GJ 494,,,,,2.89,,,,
Engle_2024,GJ 9520,GJ 9520,,,,,3.37,,,,
Engle_2024,GJ 867A,GJ 867A,,,,,4.23,,,,
Engle_2024,GJ 182,GJ 182,,,,,4.41,,,,
Engle_2024,GJ 803,GJ 803,,,,,4.85,,,,
Engle_2024,GJ 1264,GJ 1264,,,,,6.67,,,,
Engle_2024,GJ 208,GJ 208,,,,,11.49,,,,
Engle_2024,GJ 3685,GJ 3685,,,,,11.6,,,,
Engle_2024,GJ 3367,GJ 3367,,,,,12.05,,,,
Engle_2024,DS Leo(GJ 410),DS Leo,,,,,14.52,,,,
Engle_2024,Hyades,Hyades,,,,,,,,,
Engle_2024,GJ 3942,GJ 3942,,,,,16.3,,,,
Engle_2024,GJ 338A,GJ 338A,,,,,16.3,,,,
Engle_2024,GJ 338B,GJ 338B,,,,,16.61,,,,
Engle_2024,GJ 373,GJ 373,,,,,17.18,,,,
Engle_2024,GJ 694.2,GJ 694.2,,,,,17.3,,,,
Engle_2024,GJ 21,GJ 21,,,,,17.4,,,,
Engle_2024,GJ 3822,GJ 3822,,,,,18.3,,,,
Engle_2024,GJ 49,GJ 49,,,,,19.45,,,,
Engle_2024,GJ 606,GJ 606,,,,,20.0,,,,
Engle_2024,GJ 3218,GJ 3218,,,,,21.1,,,,
Engle_2024,GJ 2,GJ 2,,,,,21.2,,,,
Engle_2024,GJ 382,GJ 382,,,,,21.2,,,,
Engle_2024,GJ 649,GJ 649,,,,,21.34,,,,
Engle_2024,GJ 3470,GJ 3470,,,,,21.54,,,,
Engle_2024,GJ 685,GJ 685,,,,,21.83,,,,
Engle_2024,GJ 450,GJ 450,,,,,22.8,,,,
Engle_2024,GJ 9404,GJ 9404,,,,,23.2,,,,
Engle_2024,GJ 846,GJ 846,,,,,26.3,,,,
Engle_2024,GJ 4057,GJ 4057,,,,,26.7,,,,
Engle_2024,GJ 4306,GJ 4306,,,,,27.0,,,,
Engle_2024,GJ 229,GJ 229,,,,,27.3,,,,
Engle_2024,GJ 740,GJ 740,,,,,27.51,,,,
Engle_2024,GJ 514,GJ 514,,,,,30.0,,,,
Engle_2024,GJ 1030,GJ 1030,,,,,32.0,,,,
Engle_2024,GJ 162,GJ 162,,,,,32.4,,,,
Engle_2024,GJ 3998,GJ 3998,,,,,33.6,,,,
Engle_2024,GJ 205,GJ 205,,,,,33.72,,,,
Engle_2024,GJ 393,GJ 393,,,,,34.15,,,,
Engle_2024,GJ 720A,GJ 720A,,,,,34.5,,,,
Engle_2024,GJ 47,GJ 47,,,,,34.7,,,,
Engle_2024,GJ 9689,GJ 9689,,,,,35.7,,,,
Engle_2024,GJ 548A,GJ 548A,,,,,36.6,,,,
Engle_2024,GJ 3997,GJ 3997,,,,,37.0,,,,
Engle_2024,GJ 880,GJ 880,,,,,37.5,,,,
