df_id,prot_id,GaiaDR3_ID,subgroup,data_catalog,prot_source,P_rot,mem_prob_val,mem_prob_val_source,P_out,ra,dec,pmra,pmdec,G0,BPRP0,BPRP0_err,logBPRP0_err,sampled_avg_dist_pc,dustmap_query,dustmap_used,age_Myr,logA_Myr,cmd_exclude,parallax,parallax_error,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,flag_outside_mann_range,mass_msun,mass_msun_err
36602,36602,652026136329044736,Praesepe,R+21,Rampalli2021,15.57,0.85,source,0.05,124.9431589203429,14.208220527379751,-27.171179342774614,-7.628913588180129,14.479844702283984,1.7772241009420604,0.0143101196430707,-1.8443567352054089,224.0412322046086,Edenhofer,Edenhofer,718.0,2.8561999999999994,0,4.419796934591177,0.02084977,08194638+1412297,11.606,0.018,0.002173073406758,0.0001114895693495,11.603826926593241,4.830838508392533,False,0.6265063032135063,0.015390654230369165
37562,37562,687156151310669568,Praesepe,R+21,Rampalli2021,15.41,0.85,source,0.05,136.7226774436152,23.164039612330907,-46.89930015575633,-16.19713312556918,14.20113843887465,1.9684352715528908,0.0143241966302554,-1.843929725997974,155.09097828893033,Edenhofer,Edenhofer,718.0,2.8561999999999994,0,6.399890148321806,0.025316225,09065348+2309507,11.108,0.02,0.0037569783825472,0.0001927431860037,11.104243021617453,5.135105619359459,False,0.5818981773032209,0.014320628539105333
36593,36593,653781747161312512,Praesepe,R+21,Rampalli2021,15.57,0.85,source,0.05,123.27609905787138,14.45646730366398,-27.815977573782632,-9.069736064053634,14.665508257372784,1.95781177046256,0.0144551699026377,-1.8399767993690148,200.67133349210616,Edenhofer,Edenhofer,718.0,2.8561999999999994,0,4.941628253869705,0.02454136,08130630+1427235,11.602,0.02,0.0022804334833275,0.0001170423715033,11.599719566516672,5.06906992364226,False,0.5917569603542664,0.014622250941071759
37674,37674,337190430643474944,M34,M+11,Meibom2011b,4.65,0.565,source,0.05,40.558234643918944,42.9300118398751,1.718819103621072,-5.208311940341163,13.697525258104834,0.9897048399205276,0.0157180813605026,-1.8036004675459945,501.6026729472742,both,Edenhofer,161.0,2.2070000000000007,0,1.9600979168661543,0.019626973,02421396+4255480,11.981,0.026,0.0151180486337201,0.0007764007161968,11.96588195136628,3.42727078695599,True,,
37664,37664,337140815180615424,M34,M+11,Meibom2011b,3.39,0.95,source,0.05,40.45282090796723,42.46634258962486,0.5683554260589914,-6.279965796656777,14.424484137213597,1.2819826485034416,0.0187734365067633,-1.7264562218209656,482.6084123081975,both,Edenhofer,161.0,2.2070000000000007,0,2.043509187365005,0.03150037,02414867+4227590,12.196,0.023,0.012649832746077,0.000649544231552,12.183350167253924,3.735233140185784,True,,
38116,38116,3406246551373367168,Hyades,D+19,Douglas2019,2.12,0.9,source,0.05,71.25127910776314,17.271982390931672,70.7970369250567,-22.37475901520149,16.199646,3.4315662,0.0413429169748798,-1.3835988847139975,60.519923265657305,Edenhofer,Edenhofer,775.0,2.8897999999999993,0,16.471415190622878,0.113695964,04450024+1716199,11.252,0.021,0.0,0.0,11.252,7.335654572374153,False,0.24562640602381502,0.006245738451537808
37643,37643,337180328879557120,M34,M+11,Meibom2011b,0.94,0.36,source,0.05,40.711549497511605,42.968822593022345,0.877912055057745,-5.635637990582912,14.37350944017313,1.0903612121565307,0.0197665820145065,-1.7040684212564818,490.5239716625153,both,Edenhofer,161.0,2.2070000000000007,0,1.9935120127546568,0.03300622,02425076+4258077,12.404,0.023,0.0152598028205681,0.000783438950968,12.388740197179432,3.8868344823416514,True,,
37738,37738,337158166848456064,M34,M+11,Meibom2011b,11.23,0.7,source,0.05,40.25697529137573,42.62639101474828,0.912818824102314,-5.54226161182374,15.783454572915216,1.5526360071153154,0.0178404555259958,-1.7485940608399035,472.6996332786163,both,Edenhofer,161.0,2.2070000000000007,0,2.067540286665484,0.046096105,02410166+4237349,13.226,0.031,0.0129051905176759,0.0006632970184392,13.213094809482325,4.7903647128327,False,0.6322166807035958,0.017334697420424566
37640,37640,337150676425488256,M34,M+11,Meibom2011b,0.88,0.91,source,0.05,40.47186716983233,42.5906120179165,1.568281504995191,-5.813116742596891,15.724343039617478,1.6960176237794915,0.0217977691588327,-1.6615879509634763,464.70102237585104,both,Edenhofer,161.0,2.2070000000000007,0,2.100012890625316,0.05099871,02415324+4235262,12.917,0.03,0.0130026053289436,0.0006680795921553,12.903997394671055,4.5151071976507975,False,0.6716774406820918,0.018466359519614412
37663,37663,337179744764027776,M34,M+11,Meibom2011b,3.18,0.47,source,0.05,40.65126276004648,42.90872545280298,0.930948229625386,-5.823526485205647,14.579871980274117,1.1378853474692148,0.0167726628501271,-1.7753979827540298,495.40013501811865,both,Edenhofer,161.0,2.2070000000000007,0,1.9868020497431431,0.02885656,02423629+4254314,12.566,0.023,0.0149880861328911,0.0007695997195977,12.551011913867109,4.041784910747976,True,,
37726,37726,337178404734238976,M34,M+11,Meibom2011b,9.71,0.7,source,0.05,40.603762012867485,42.89051693324374,0.4295425857808426,-5.6710488552949165,16.52136725049867,1.8515755214904317,0.018646061888265,-1.729412878643149,521.329995178995,both,Edenhofer,161.0,2.2070000000000007,0,1.908111134262903,0.08355343,02422488+4253258,13.579,0.039,0.0149081910338235,0.0007894165869314,13.564091808966177,4.967110137723619,False,0.6064159078887589,0.020956151627326315
37661,37661,337193827960470400,M34,M+11,Meibom2011b,2.8,0.97,source,0.05,40.42003416450542,42.91306076131212,0.6450100241968992,-5.945720234091926,12.864454700866297,0.7869971113533336,0.0148005818623852,-1.8297212106418128,490.6730321846665,both,Edenhofer,161.0,2.2070000000000007,0,2.0152366446091214,0.019807154,02414080+4254471,11.612,0.023,0.0147496010839933,0.0007571007271697,11.597250398916007,3.118880657290365,True,,
1939,1939,3050057831115059072,M50,GR+21,Irwin2009,0.488,0.5,source,0.05,105.50024555861852,-8.510506200582649,-0.4208042749896347,-3.8829560577625273,18.529925196868643,1.764653236890682,0.2063856933616837,-0.6853204112571463,970.3950033473944,,Bayestar,135.0,2.1317000000000004,0,0.6920433295476216,0.2303094,07020003-0830374,15.392,0.188,0.0408417111607847,0.0183991361246554,15.351158288839216,4.55182472350973,False,,
