catalog,gaiadr3_id,star_name,ra,dec,parallax,source_paper,likely_mdwarf,BPRP0
training_stars,5290740585813822976,Gaia DR3 5290740585813822976,119.0842859,-60.6419871,2.7320486293410537,MOCADB,,
training_stars,604971402345380480,Gaia DR3 604971402345380480,132.7942471,11.9815779,1.2642172672737708,MOCADB,,
training_stars,4066065265911252480,Gaia DR3 4066065265911252480,271.24153831985063,-24.382408296423744,0.912480200318634,MOCADB,,
training_stars,2023064050394052224,Gaia DR3 2023064050394052224,290.0437904321559,24.80670608841888,2.057536195485674,MOCADB,,
training_stars,6077259602940479104,Gaia DR3 6077259602940479104,185.7467637833782,-52.96752647169939,2.8546506716265942,MOCADB,,
training_stars,5867753125491117056,Gaia DR3 5867753125491117056,211.83922838833348,-59.32631206613504,1.1309885733143832,MOCADB,,
training_stars,6073176600877691776,Gaia DR2 6073176600877691776,188.2596404,-56.8548717,6.627671181284164,MOCADB,,
cf_rotator_catalog,3050042476607259136,,105.51974891895972,-8.657098669367135,0.8239708222371684,,False,1.4740071540387158
cf_rotator_catalog,3050056254862195200,,105.55717619073924,-8.603243741668566,0.253496332208616,,False,0.99230937240051
cf_rotator_catalog,3051493930740304512,,105.89589183033388,-8.663931402418692,0.2273341628940966,,True,2.3903287497186
cf_rotator_catalog,3051542210471288960,,105.77020771478156,-8.580002139724096,1.0225199814428247,,True,2.008478348290734
cf_rotator_catalog,3051542485349029888,,105.8360957617243,-8.56320774331172,1.800001748615454,,True,2.026855803618506
cf_rotator_catalog,3051545573427116032,,105.79319581003824,-8.559620296718965,1.449665631157292,,True,2.024940555374676
cf_rotator_catalog,3051558359545619712,,105.6838436428494,-8.499586016959029,1.2863447684818323,,True,2.2167994377199447
cf_rotator_catalog,3051558423969304704,,105.65960542734108,-8.487853096857775,2.132037138273019,,True,1.5758323614121612
cf_rotator_catalog,3051562753296383232,,105.58926757399664,-8.419362822628658,0.627490265871228,,True,2.1038425741866273
cf_rotator_catalog,3051566159210207744,,105.58565051154048,-8.319874984487617,2.3009637565592937,,True,1.9802517808336224
cf_rotator_catalog,3051566983845691008,,105.81044417348063,-8.376324515463931,0.9578983962861788,,True,2.142215033952681
cf_rotator_catalog,3051568461308045568,,105.76225843930054,-8.298044603535901,0.3653499371834459,,True,2.4575528527406263
cf_rotator_catalog,3050040415029565184,,105.73221076824836,-8.650053523025203,0.3590086304975866,,True,2.3993763086973328
cf_rotator_catalog,3050043679204164096,,105.6763560791804,-8.629347283398715,0.7704526345411322,,True,2.4414792695530396
cf_rotator_catalog,3050056598459564800,,105.5274912301093,-8.571626854479188,0.8179029841285449,,True,2.803947497286474
cf_rotator_catalog,3051495511288278912,,105.94328312563732,-8.641588018367841,0.6681502259968941,,True,2.3718048260812137
cf_rotator_catalog,3051542828948008704,,105.91591447109302,-8.5945474800317,0.6933235412154923,,True,1.8548695292170612
cf_rotator_catalog,3050056216207527808,,105.47155589803889,-8.538883944514126,0.4656771974869885,,True,2.489584652024846
cf_rotator_catalog,3050058625684299136,,105.41066495634192,-8.576578452613761,2.3816051449889115,,True,2.0415836575569575
cf_rotator_catalog,3051493866319370752,,105.91046871952952,-8.673841546619562,4.546327141265933,,False,1.0929337367611955
cf_rotator_catalog,3051560592928261376,,105.73503153535734,-8.424221807506564,0.5469708208873453,,True,2.3073982669076516
cf_rotator_catalog,3050056044408819968,,105.4381143906369,-8.569740205618068,0.9026884093294708,,True,1.942109317280047
cf_rotator_catalog,3050057491812719488,,105.54163747662332,-8.549108834268843,0.0017355514325255,,True,2.813388051333546
cf_rotator_catalog,3051548704458769920,,105.77739778705272,-8.450067134180019,0.3874479479825221,,True,1.969783047422388
cf_rotator_catalog,3051549357299917056,,105.81272343407302,-8.394027203406536,1.1047175349517602,,True,1.883317289088562
cf_rotator_catalog,3051561211403455616,,105.7489052523947,-8.394066844317374,1.918873518468065,,True,2.3224000051978058
cf_rotator_catalog,3051563406131426944,,105.57857047765302,-8.3972137503118,1.9729216513567496,,True,2.2142037596285777
cf_rotator_catalog,3051564235060740736,,105.5565368649041,-8.368242225520017,-0.1282039461247082,,True,1.9844393515508496
cf_rotator_catalog,3051571583749246080,,105.74467189831807,-8.27432581421046,1.7949401938545066,,True,2.555967316488051
cf_rotator_catalog,3051543614922030976,,105.93114348421112,-8.553611355693121,0.9605044254342058,,True,2.5325665585904336
cf_rotator_catalog,3051575127101789824,,105.78831656274674,-8.131918176371318,6.440880607477203,,False,1.4317968388820574
cf_rotator_catalog,3052323619644948608,,105.67624603131414,-8.196249552254661,4.894150039460701,,False,1.2979027298002124
cf_rotator_catalog,3052325303272116480,,105.66573763658322,-8.121666026730528,-0.7465623106795275,,True,1.865321078442463
cf_rotator_catalog,3052326815098392448,,105.6820905058614,-8.107864694244537,-0.3200929584002099,,True,2.469593636881797
cf_rotator_catalog,3052326952537307904,,105.69399894478796,-8.087036479707061,2.466668235582802,,True,1.8011478978937787
cf_rotator_catalog,3051541282758227584,,105.88520802474622,-8.617405052322383,1.3518642294073868,,True,2.044142780225095
cf_rotator_catalog,3051542068733783296,,105.74984423537808,-8.604350810713035,0.4805284083442253,,True,1.8163580476661607
cf_rotator_catalog,3051545852603438848,,105.7704935940928,-8.532778200004214,3.190966859091682,,True,1.7629935094304434
cf_rotator_catalog,3051546952118322688,,105.71846068904944,-8.491778993707433,1.1336516724692636,,True,2.161678920200881
cf_rotator_catalog,3051554094642308224,,105.89644327113136,-8.427688950423727,0.4981282100993893,,True,2.199962571015926
cf_rotator_catalog,3051555026652982016,,105.88728661403393,-8.394050081819701,0.5049440782731562,,True,2.7701407986594946
cf_rotator_catalog,3051561451921520128,,105.77691129781743,-8.366124457285757,0.6037667651856709,,True,1.8732565764174027
cf_rotator_catalog,3051562379634556416,,105.69489049061498,-8.35078299979426,0.6213402038148648,,True,1.7204412038379937
cf_rotator_catalog,3051567808472961664,,105.83771042002232,-8.322349671694946,-0.513266569314688,,True,1.9331427947911537
cf_rotator_catalog,3051572447037530624,,105.77020552289298,-8.204900206400522,-2.625290670405129,,True,2.3600821312084768
cf_rotator_catalog,3051572511462191744,,105.70304275790323,-8.255164333732527,1.4491114767324225,,True,2.1543858790032244
cf_rotator_catalog,3051572653196084992,,105.72274468329816,-8.241649989155515,-2.154056328539101,,True,1.6958226011160409
cf_rotator_catalog,3052321691198398080,,105.48036482210355,-8.180686435750118,1.3850611707495777,,True,2.123778216653175
cf_rotator_catalog,3051563925823226496,,105.52951993219004,-8.37481435318086,0.3740210587683241,,True,2.1761669447422065
cf_rotator_catalog,3051566159205896576,,105.58274230729695,-8.314537378218592,-0.7622429508996704,,True,1.9613953309285224
cf_rotator_catalog,3051568869329917184,,105.84325355187325,-8.269634673810279,1.523197021462654,,True,1.9528078640618691
cf_rotator_catalog,3051570900849193088,,105.89750341540326,-8.21973454813936,0.623594903912923,,True,1.9502841902875725
cf_rotator_catalog,3051571927346638080,,105.77476110798683,-8.25880053983282,-0.1128371458530512,,True,2.2020563353905405
cf_rotator_catalog,3052326162268545408,,105.7321766406694,-8.090981059102528,2.1835689844626387,,True,2.323164026210505
cf_rotator_catalog,3050042820208943488,,105.54621945910384,-8.641740084868717,0.8786402448500774,,False,1.25885939367478
cf_rotator_catalog,3050044744349709824,,105.65973923411256,-8.592877522555742,1.7116533484648535,,True,1.953375265758612
cf_rotator_catalog,3051560008818883072,,105.67394682281872,-8.41775386126842,-1.8112768545881497,,True,1.7603658881589834
cf_rotator_catalog,3051561589360678272,,105.69367703859066,-8.393019696268109,2.404790644401142,,True,1.8872307158485024
