df_id,prot_id,GaiaDR3_ID,subgroup,data_catalog,prot_source,P_rot,mem_prob_val,mem_prob_val_source,P_out,ra,dec,pmra,pmdec,G0,BPRP0,BPRP0_err,logBPRP0_err,sampled_avg_dist_pc,dustmap_query,dustmap_used,age_Myr,logA_Myr,cmd_exclude
2606,2606,3052325681227010176,M50,GR+21,Irwin2009,0.387,0.5,source,0.05,105.74598688365917,-8.144657512966988,-0.942906701420447,-0.4634631096220006,19.854178110128622,2.0374552581535115,0.24996642534177327,-0.602118320400006,933.3881399596648,NULL,Bayestar,135,2.1317000000000004,0
2612,2612,3052326505865918464,M50,GR+21,Irwin2009,0.992,0.804,source,0.05,105.76390189961296,-8.090130650653395,-0.898532903002821,-0.6205563029700184,17.155817786728864,1.548493436145781,0.0735257568772801,-1.1335604961519457,1074.9387875214875,both,Edenhofer,135,2.1317000000000004,0
13346,13346,3064554380828514176,NGC2548,B+15,Barnes2015,3.25,0.8739830715493204,PC,0.05,123.13147396142865,-5.4580674195539,-1.4132801362994576,0.9282775423963708,13.360166235066538,0.6736387287483909,0.014853851041174754,-1.8281609356324995,752.1516824361202,both,Edenhofer,462,2.664999999999999,0
13350,13350,3064590561632921088,NGC2548,B+15,Barnes2015,7.72,1,PC,0.05,123.70609893642367,-5.512921521649862,-1.2856439066544296,1.0016802481383373,13.646266106083212,0.8499464867076887,0.014799462904775065,-1.8297540455324095,737.2343218917802,both,Edenhofer,462,2.664999999999999,0
13387,13387,3064591175811787904,NGC2548,B+15,Barnes2015,8.65,0.9,source,0.05,123.60814919032835,-5.506995480643034,-0.8367745040226702,0.4871537197122027,15.315291676085854,1.1497351356444327,0.015107619278677657,-1.8208039681953743,688.2351996436122,both,Edenhofer,462,2.664999999999999,0
multi,multi,3307992336891315968,Hyades,multi,multi,11.3,0.95,source,0.05,69.96285291527285,12.72840639889554,102.516875225343,-16.16321848160308,9.665218,1.2807331,0.014226382825554556,-1.8469055088120134,43.60557966120858,Edenhofer,Edenhofer,775,2.8897999999999993,0
38034,38034,3311804515502788352,Hyades,D+19,Douglas2016,1.89,0.9,source,0.05,63.273952149488956,15.247700118856342,122.44950869749097,-18.603451879024888,14.355454,2.9613495,0.015726735307079468,-1.803361422657954,44.60269872545133,Edenhofer,Edenhofer,775,2.8897999999999993,0
multi,multi,3311934086075988864,Hyades,multi,multi,3.67,0.95,source,0.05,64.4656126372456,15.227063447450588,109.65233201547665,-21.86460130676811,14.218251,2.8814716,0.014668102245834905,-1.833626071397068,47.20334032044702,Edenhofer,Edenhofer,775,2.8897999999999993,0
23869,23869,3314251749212034816,Taurus_C1,L+23,Long2023,2.426,0.9,source,0.05,68.03873801181662,17.956217581659516,11.755677922610731,-19.386123428236125,11.542866021289326,1.5507140325633602,0.019189996320472545,-1.7169251085369945,142.80920929312512,Edenhofer,Edenhofer,1.73,0.23800000000000043,0
29803,29803,3314328822401984768,Taurus_C1,L+23,Long2023,1.597,0.9,source,0.05,67.8158272574226,18.33521645844871,12.511904775729288,-18.006871089711346,14.336961217451572,3.055365220034853,0.02588947866185986,-1.5868766948937147,141.2811622440087,Edenhofer,Edenhofer,1.73,0.23800000000000043,0
