moca_oid,GaiaDR3_ID,twomass_id,moca_aid,moca_mtid,designation,ra,dec,spectral_type,banyan_prob,gmag,rmag,bmag,parallax_mas,prot_days,age_string_myr,age_myr,age_myr_unc,age_myr_unc_pos,age_myr_unc_neg,phot_g_mean_mag,bp_rp,ruwe,parallax,ebpminrp_gspphot,bprp0,flag_high_ruwe
2561822,2926892978114008832,06454989-2106308,NGC2287,CM,Gaia DR3 2926892978114008832,101.457899,-21.1085889,(M1.6),99.6344,18.38755,17.30962,19.51832,1.5269584218303007,1.7323874952115694,177.8,177.8,,,,18.387537,2.2090092,0.98925996,1.5269584218303007,0.2101,1.9989092,False
372437,1099010907605221504,07074949+6138410,CRSG2,CM,Gaia eDR3 1099010907605221504,106.9562186,61.6446179,(M5.9),99.6341,17.577,16.356,19.237,4.140160083770752,0.3858790099620819,126,126.0,25.0,25.0,25.0,17.648415,2.9256897,0.997689,4.1401603715699755,0.4142,2.5114896,False
29680,170010374838068608,04131018+3409087,THEIA801,CM,Gaia DR2 170010374838068608,63.2924302,34.1523806,(M6.0),99.6339,16.757,15.638,18.097,3.704629898071289,1.9566800594329832,316.2,316.2,131.1,131.1,131.1,17.204205,2.7223282,0.9637307,3.704625898764281,0.5466,2.1757283,False
43531,204735906978106112,04404658+4339399,CAPER,HM,Gaia DR2 204735906978106112,70.1942145,43.6609696,(M3.4),99.6333,15.229,14.022,16.737,7.875720024108887,2.63604998588562,79 +1.5/-2.3,79.0,1.9,1.5,2.3,15.270437,2.740903,1.0137324,7.87572422073861,0.3623,2.378603,False
2562678,2927267881521763072,06464050-1952156,OCSN76,CM,Gaia DR3 2927267881521763072,101.6687436,-19.8710021,(M0.9),99.6331,16.2934,15.25632,17.36375,2.0774428513052348,2.483015816765724,"37 (-17,+33)",37.0,25.0,33.0,17.0,16.293406,2.1074524,1.0903529,2.0774428513052348,0.2625,1.8449523,False
2834541,3425506181161346176,06091428+2406273,NGC2168,CM,Gaia DR3 3425506181161346176,92.3094929,24.1076778,(M5.9),99.6325,16.53872,15.71986,17.20279,1.2097609429395604,0.387,154.9,154.9,,,,16.538647,1.4829235,1.0416533,1.2097609429395604,0.3477,1.1352235,False
99609,4247356316521127936,20044459+0358362,HSC396,CM,Gaia DR2 4247356316521127936,301.1858882,3.9767215,(M5.6),99.6286,15.705,14.498,17.227,9.28719997406006,0.8583289980888367,"135 (-77,+120)",135.0,100.0,120.0,77.0,15.758265,2.7631178,1.0183494,9.287204316747262,0.3548,2.4083178,False
2647224,3014546289894883200,05183227-0901169,THEIA6046,CM,Gaia DR3 3014546289894883200,79.6344776,-9.0214066,(M5.8),99.6267,17.3223,16.33564,18.32907,0.9129321318622892,0.3954953810743172,"3800 (-1200,+4100)",3800.0,2600.0,4100.0,1200.0,17.3223,1.9934902,1.0587933,0.9129321318622892,1.0294,0.9640902,False
120704,5290667678747043584,07584488-6102356,NGC2516,HM,Gaia DR2 5290667678747043584,119.68698,-61.0431972,(M1.2),99.6251,16.366,15.316,17.508,2.5609700679779053,2.118,195 ± 25,195.0,25.0,25.0,25.0,16.591145,2.3178053,1.0561306,2.5609671132467593,0.3258,1.9920053,False
3126467,4516014522403445248,19131465+1840349,THEIA836,CM,Gaia DR3 4516014522403445248,288.3109476,18.6761532,(M2.0),99.6238,17.95938,16.85072,19.2886,1.785179884845795,4.56031822949922,"104 (-40,+74)",104.0,57.0,74.0,40.0,17.959372,2.4377785,1.0247244,1.785179884845795,0.5071,1.9306785,False
