source_paper,star_name,source_id,ra,dec,pmra,pmdec,prot_days,age_gyr,age_err_lo_gyr,age_err_hi_gyr,age_method,parallax,parallax_error,bp_rp,bp_rp_0,ebpminrp_gspphot,ruwe,high_ruwe,phot_g_mean_mag,binary_type,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,flag_outside_mann_range,mass_msun,mass_msun_err_lo,mass_msun_err_hi,tau_ce_days,rossby_number,tau_ce_err_days
Feinstein2024,TIC 213044139,3228103402564766976,75.26689009832857,-0.361337402420253,13.838096363536447,-59.62363287987014,6.637495340851297,0.195,0.0718,0.0718,association,11.676846349402044,0.012940447,1.7133236,1.7133236,,1.0539905,False,12.337649,none,05010403-0021397,9.506,0.025,0.0007507803394587,3.850176845369312e-05,9.505249219660541,4.841877047418061,False,0.6248776798238199,0.015353860078349268,0.015442895272901325,41.17909528578674,0.16118604099450132,2.247669247501255
Feinstein2024,TIC 12631414,3247412647814482816,53.12881980565811,-6.2192006280482905,-6.757460868339656,-8.734078724367384,6.905131901971,0.12,0.0,0.0,association,8.304620948555565,0.015746443,1.3653183,1.3306183,0.0347,1.2296412,True,12.313834,none,03323092-0613091,9.968,0.024,0.00066051951435,3.387873108873704e-05,9.96733948048565,4.56393855322011,False,0.6646218132530874,0.01612411460525498,0.016286428156746857,37.2955256764126,0.18514638892295118,1.844550179861542
Feinstein2024,TIC 397353968,3409493546650264704,70.71404290007116,18.486859412234377,18.686907593762488,-24.638586705883174,3.740058989055904,0.079,0.0019,0.0019,association,6.388724578123686,0.049527477,2.9146595,2.3873595,0.5273,1.0379997,False,16.110914,none,04425134+1829130,12.138,0.02,0.0161965950545965,0.0010501388833726,12.121803404945403,6.148874234102454,False,0.4194868931315704,0.010171928469880798,0.010280915470753438,92.85630823317763,0.040277920372022484,6.817869520463855
Feinstein2024,TIC 467615807,3415712448841620224,78.13145880850327,22.96101185383044,3.1913049900821964,-17.898449647428805,1.3790190937309537,0.0085,0.0013,0.0013,association,5.82631643809825,0.061599363,3.449215,3.449215,,1.0549548,False,16.221338,none,05123154+2257398,11.823,0.021,0.0114496553519339,0.0008051337908979,11.811550344648067,5.638520686020403,False,0.5031630486770331,0.012413034417852187,0.012595248035348283,68.9193741032118,0.02000916450091047,5.045461891537086
Feinstein2024,TIC 19330721,3416029971479737984,81.99886459431802,22.67240756662834,1.4646455472128093,-17.506554263897844,6.473631510717673,0.0085,0.0013,0.0013,association,5.500506427743017,0.03188747,2.9274187,2.3816187,0.5458,1.0216626,False,15.0757,none,05275972+2240210,11.015,0.034,0.0119407037314376,0.0006690666292042,11.003059296268564,4.705072678875382,False,0.644389249910438,0.01609164388460782,0.01629137551234372,39.272536151608634,0.16483864158216602,2.0497661794798434
Feinstein2024,TIC 19400360,3416152085989711232,82.19820336354535,23.133742135405345,1.6069625591554455,-18.454783061615533,4.331698301495474,0.0085,0.0013,0.0013,association,5.881200858439647,0.032508753,2.8664637,2.3794637,0.487,1.1223531,False,14.655828,none,05284756+2308019,10.796,0.047,0.0110082244407656,0.0007203689769822,10.784991775559234,4.632321835315867,False,0.6547774847188799,0.016988742980271088,0.017164867210151535,38.25745720746946,0.11322494012094837,1.9443997978513616
Feinstein2024,TIC 6743108,3416299557986788608,81.28225172299965,23.12977506367762,0.749863784759266,-18.46960874718537,2.57665872033052,0.0085,0.0013,0.0013,association,5.765080529107928,0.05549506,3.3975286,3.3975286,,1.2677804,True,15.390442,none,05250773+2307475,11.025,0.02,0.0121768716010703,0.0010698920417872,11.01282312839893,4.81685001881873,False,0.6284303441307826,0.01549397366143368,0.01569934806919915,40.83194923064924,0.06310398520961205,2.2116350809592054
Feinstein2024,TIC 432915399,3416562165170279424,82.76092852264678,23.567154662179973,1.880172944025361,-18.21255233339497,1.3488449583923832,0.0085,0.0013,0.0013,association,5.956402239661453,0.0407846,2.9332323,2.3780322999999997,0.5552,0.97075015,False,15.322274,none,05310261+2334020,11.356,0.024,0.0113577525423363,0.0007837514272715,11.344642247457664,5.219562338733741,False,0.5690276969586099,0.014045772989918937,0.014247233321735608,52.760103241370686,0.025565623937875766,3.477839853163888
Feinstein2024,TIC 432909350,3416562169467254656,82.75859596883018,23.565947074544827,2.00891604019223,-18.28300104127262,1.348844955186712,0.0085,0.0013,0.0013,association,5.985408074637883,0.044585712,2.9896145,2.9896145,,1.0909957,False,15.404922,none,05310205+2333576,11.39,0.024,0.0107293920910694,0.0007956058988033,11.37927060790893,5.264739433853213,False,0.5621103019015742,0.01385369050533991,0.014132945720895962,54.803699381077806,0.024612297535016966,3.6962318971074435
Feinstein2024,TIC 54186889,3417263726605650688,80.9646991989707,24.373757226930465,2.443897422709271,-18.2536548479226,2.82186076563209,0.0085,0.0013,0.0013,association,5.781919282796483,0.025947224,2.7848988,2.3546988,0.4302,1.0263739,False,14.618777,none,05235152+2422258,10.725,0.018,0.0202534035031892,0.001612328732992,10.704746596496811,4.515106719021986,False,0.6716710933645479,0.01617207142530297,0.01644479100729146,36.65079533999559,0.07699316589052853,1.7858222665886303
Feinstein2024,TIC 54038819,3417279085408497920,80.75820957881864,24.46897002453593,1.61984802776004,-17.409858949700734,4.17972783869706,0.0085,0.0013,0.0013,association,5.508874140959621,0.045793403,3.1554422,3.1554422,,1.0120205,False,15.864009,none,05230197+2428085,11.619,0.022,0.0351287141429735,0.0034331848969773,11.583871285857025,5.289185537530198,False,0.5583810271797001,0.013758669354253072,0.013992657291303834,55.90543368462576,0.07476425032807685,3.8139704276123267
Feinstein2024,TIC 54186572,3417281009553784320,80.89882234624945,24.57834556398952,0.874203381140704,-18.549421368216784,1.5583847690763,0.0085,0.0013,0.0013,association,5.562963739624183,0.040508717,2.987092,2.987092,,1.0994443,False,15.417808,none,05233572+2434422,11.34,0.018,0.0347152681847079,0.0022313327457866,11.305284731815291,5.031815877526574,False,0.5971728154686038,0.014644258778190866,0.014825595912745126,44.44523108727533,0.03506303670727151,2.5892582544912224
