source_paper,star_name,source_id,ra,dec,pmra,pmdec,prot_days,age_gyr,age_err_lo_gyr,age_err_hi_gyr,age_method,parallax,parallax_error,bp_rp,bp_rp_0,ebpminrp_gspphot,ruwe,phot_g_mean_mag,binary_type,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,flag_outside_mann_range,mass_msun,mass_msun_err_lo,mass_msun_err_hi,high_ruwe,tau_ce_days,rossby_number,tau_ce_err_days
Pass2022,LP 167-63,830705297057680640,158.60508862654012,46.30576712286993,-416.49131523939974,-106.65675326819488,0.995,,,,coeval_mm,41.199463139231554,0.0339712500572204,3.416315,3.416315,,1.2029525,14.576099395751951,MM,10342590+4618226,10.324,0.02,0.0,0.0,10.324,8.398457784390384,False,0.1475687661065093,0.0035227441854617,0.0035588236853968,True,214.59,0.004636749149540985,30.9
Pass2022,LP 613-49,3795993633527490560,176.9183832811517,0.2551360375501735,-314.28368121758723,-100.7567914738442,11.76,,,,coeval_mm,53.13605503515882,0.0303737483918666,2.8778238,2.8778238,0.0,1.3083901,11.966901779174805,MM,11474074+0015201,8.098,0.029,0.0,0.0,8.098,6.724946540354415,False,0.328381259509933,0.0083677498660443,0.0085205136182742,True,202.72890868209868,0.05800850049679387,35.604181227705666
Pass2022,LP 613-50,3795993633527490560,176.92404164490358,0.2512338759265444,-306.0249304955219,-100.28750979722614,1.66,,,,coeval_mm,53.01830200857152,0.04750756919384,3.806594,3.806594,,1.1747273,14.813735961914062,MM,11474074+0015201,8.098,0.029,0.0,0.0,8.098,6.720129073405951,False,0.329125120931929,0.0083861948348926,0.0085084766308383,False,201.75807654371613,0.008227675582743364,35.23578385846214
Pass2022,G 116-72,808270896163474176,149.827694841564,43.839406670712435,-99.08794478480884,-221.38794153516488,0.755,,,,coeval_mm,36.74719130705888,0.0249803736805915,2.7466888,2.7466888,0.0,1.298905,12.583740234375,MM,09591880+4350256,8.859,0.016,0.0,0.0,8.859,6.685120751596184,False,0.3343796624484987,0.0077330116273673,0.0078272930380609,True,194.90024304690314,0.0038737765956418416,32.63347217238101
Pass2022,G 116-73,808270896163473920,149.83657630240822,43.83947827911241,-100.49907557948774,-220.2180525730501,0.974,,,,coeval_mm,36.7225166030608,0.0281483754515647,2.8237638,2.8237638,,1.3086237,12.854988098144531,MM,09592093+4350258,9.067,0.016,0.0,0.0,9.067,6.891662179281595,False,0.3041012004834159,0.0070463985700885,0.0071184671790281,True,234.41742071908186,0.004154981302209658,47.62888046058828
Pass2022,GJ 669 A,4574048021719710208,259.9747987710552,26.50241183806962,-214.8369360518965,350.85021715315656,20.51,,,,coeval_mm,92.98565081391038,0.0252438765019178,2.680606,2.680606,0.0,1.4012246,10.147985458374023,MM,17195422+2630030,6.422,0.018,0.0,0.0,6.422,6.264079675396273,False,0.4006980594806767,0.0093086525989106,0.009362109577912,True,113.08060877499959,0.18137504053245293,8.351038346376779
Pass2022,GJ 669 B,4574048021719712768,259.9695666590066,26.502318754868263,-226.03992337713896,354.9842991855332,1.457,,,,coeval_mm,92.95830529602016,0.0304714553058147,3.128108,3.128108,,1.3778402,11.458685874938965,MM,17195298+2630026,7.351,0.026,0.0,0.0,7.351,7.192440987919755,False,0.2633496362235069,0.0066199562249796,0.006713404949921,True,223.34147443718697,0.006523642792596365,44.652644049036624
Pass2022,LHS 3808,2703757302393547264,336.5635181318511,3.0031336230215877,-493.62059646429935,-451.2418229130884,94.0,,,,coeval_mm,42.64193087409584,0.0300555322319269,2.7548304,2.7548304,,1.3250543,12.461413383483888,MM,22261576+0300182,8.714,0.023,0.0,0.0,8.714,6.863184309006645,False,0.3081278701981935,0.0075260604659111,0.0075774336471234,True,229.16211340758272,0.4101899681506849,45.63467228434467
Pass2022,LHS 3809,2703757298483054592,336.5623913792414,3.000124501722004,-496.9718439337176,-456.8803654885779,1.569,,,,coeval_mm,42.61184024700958,0.0450731329619884,3.5394697,3.5394697,,1.1299324,14.758967399597168,MM,22261549+0300075,10.371,0.021,0.0,0.0,10.371,8.51865145085018,False,0.1399662139474068,0.0033467826618437,0.003401280543188,False,214.59,0.007311617503145533,30.9
Pass2022,GJ 49,522863309964987520,15.668950820681058,62.345451222893885,731.0879947758527,90.53173556175588,19.0,,,,coeval_mm,101.42379529598418,0.0168781466782093,2.1754298,2.1754298,0.0,1.0359348,8.671337127685547,MM,01023895+6220422,5.371,0.02,0.0,0.0,5.371,5.401699289453245,False,0.5409484533733542,0.0128784987407731,0.013035110388413,False,61.05551406055766,0.3111922042152479,4.364341686355533
Pass2022,GJ 51,522864272041351296,15.83964458528098,62.36589259248621,730.398009578876,85.9667043087498,1.024,,,,coeval_mm,101.37235858535028,0.0479517057538032,3.305438,3.305438,,1.0717231,11.927245140075684,MM,01031971+6221557,7.718,0.02,0.0,0.0,7.718,7.747597755738377,False,0.2006088259692796,0.0047758558936516,0.0048108626577057,False,209.08744346620236,0.004897472478616455,34.93417768348648
