source_paper,star_name,source_id,ra,dec,pmra,pmdec,prot_days,age_gyr,age_err_lo_gyr,age_err_hi_gyr,age_method,parallax,parallax_error,bp_rp,bp_rp_0,ebpminrp_gspphot,ruwe,high_ruwe,phot_g_mean_mag,binary_type,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,flag_outside_mann_range,mass_msun,mass_msun_err_lo,mass_msun_err_hi,tau_ce_days,rossby_number,tau_ce_err_days,log_prot,log_age_myr,log_mass_msun,log_tau_ce,log_tau_ce_err,log_mass_err_lo,log_mass_err_hi,log_rossby,log_age_err_lo,log_age_err_hi,cluster_name,p16,p50,p84,inferred_age_gyr,residual_dex,fold
MOCADB,Gaia DR3 2970693501274942080,2970693501274942080,85.7815795,-18.0359753,,,0.405689513067163,0.179,0.082,0.17,association,4.703761762520044,0.1058,3.0946827,2.6873827,0.4073,0.9870721,False,17.907452,,05430756-1802092,13.847,0.046,0.0027629248909485,0.0001460448146672,13.844237075109053,7.206463661874787,False,0.2615133933792571,0.0101031252864288,0.0103723181630219,222.518378582252,0.0018231730594657,44.401767370441,-0.3918062185119118,2.2528530309798933,-0.5825060638836944,2.347365886720227,1.6474002571406068,-1.9955442613958778,-1.9841241700433045,-2.7391721052321385,1.9138138523837167,2.230448921378274,,0.9308570912288675,1.774529209143043,2.2824775010547964,0.05950167741811449,-0.4783238218368504,1
MOCADB,Gaia DR3 2984111735021759488,2984111735021759488,81.7049552,-15.1408339,,,0.329941328851087,0.179,0.082,0.17,association,5.203351001891662,0.0738,2.916009,2.5525088,0.3635,1.0494617,False,17.17918,,05264915-1508267,13.278,0.043,0.0035782114085769,0.000191308939499,13.274421788591424,6.855837403794332,False,0.3091228548763677,0.0101059814763531,0.0103094198326689,227.8635340294806,0.0014479777567585,45.141906122478886,-0.4815632807936268,2.2528530309798933,-0.5098688843583905,2.3576748287480145,1.6545798932662625,-1.995421502132323,-1.9867657741500455,-2.8392381095416415,1.9138138523837167,2.230448921378274,,0.7721919521205122,1.9796439884575674,2.3436322177005233,0.09542100546203112,-0.2732090425223259,1
MOCADB,2MASS J05363541-3654511,4809722429257648768,84.1476515,-36.9141622,,,0.2841,0.027,0.012,0.023,association,12.8972912142297,0.2351,3.0511646,,,15.045648,True,14.708973,,05363541-3654511,10.659,0.024,0.0013670132560155,7.01113852711223e-05,10.657632986743986,6.210125517215676,False,0.4093733747234739,0.0116302930527021,0.0118567605907181,103.7424994476527,0.0027385112322588,7.643132622564529,-0.5465287662770641,1.4313637641589874,-0.3878804068779506,2.0159567071552233,0.8832713954672504,-1.934409342058485,-1.9260339492300564,-2.5624854734322877,1.0791812460476249,1.3617278360175928,,1.9377346471584913,2.1840609320988427,2.3768309799588105,0.1527780392842135,0.7526971679398553,1
MOCADB,Gaia DR3 6409165295350931456,6409165295350931456,328.788367,-60.7507069,,,3.0725322925495124,0.111,0.054,0.1,association,4.618947255324059,0.0227,1.9786167,,,1.038302,False,14.857797,,21550916-6045026,11.693,0.021,0.0018001590638133,9.549069668843414e-05,11.691199840936186,5.013914855835841,False,0.5997955852028485,0.0146840099279608,0.0148530794739815,43.67038997150133,0.070357335818494,2.5064536671672113,0.4874964560507164,2.0453229787866576,-0.22199673519052607,1.6401870701378487,0.39905968091013677,-1.833155330538445,-1.8281834951745803,-1.1526906140871322,1.7323937598229686,2.0,,0.2190014321667445,0.8545055794399599,1.7363481185917353,0.007153285839393922,-1.1908173993466977,1
MOCADB,Gaia DR3 6843318353613732992,6843318353613732992,325.8806923,-13.749461,,,3.993152169325801,0.135,0.077,0.12,association,11.489584784892951,0.0247,2.5445566,2.2064567,0.3381,1.0854365,False,14.459726,,21433133-1344577,10.899,0.026,0.0016513220942514,8.468594076919569e-05,10.897348677905748,6.198870349246176,False,0.4113020879053527,0.0099901126908064,0.0101171248755181,101.66643257867834,0.0392769970190067,7.4857496269232175,0.6013158604170524,2.130333768495006,-0.38583908586288446,2.0071775846608415,0.8742352973357015,-2.0004296128031123,-1.9949428894827523,-1.4058617242437892,1.8864907251724818,2.0791812460476247,,1.9246179374555696,2.595358328971227,3.1882294335951067,0.3938749209058296,0.4650245604762211,1
MOCADB,Gaia DR3 3426294870303222144,3426294870303222144,92.344634,24.4415895,,,0.46423,0.95,0.67,3.5,association,1.2823625120589972,0.0969,1.8122215,1.2242215,0.588,0.9164398,False,17.449968,,06092272+2426300,14.361,0.055,0.045784535171618,0.002583323638143,14.315215464828382,4.855269532753908,False,0.6222401882571567,0.0295466696858609,0.028650988917985,41.43681589030069,0.0112033222154182,2.274420947677411,-0.3332667975003813,2.9777236052888476,-0.2060419428019254,1.6173863757332834,0.3568708466027224,-1.5294914629573975,-1.5428603833227044,-1.9506531732336647,2.8260748027008264,3.5440680443502757,,0.5831870482797794,0.7217868877231451,1.3984057366909868,0.005269712083716097,-2.2559367175657026,1
MOCADB,Gaia DR2 5290671900694357376,5290671900694357376,119.5291071,-60.9756305,,,0.589,0.032,0.013,0.017,association,2.3849233709147697,0.1191,2.8794956,2.4403956,0.4391,0.97022843,False,18.374855,,07580700-6058321,14.312,0.078,0.0257836493816851,0.0013572783737823,14.286216350618314,6.173588497848014,False,0.415157725377387,0.0234968944150825,0.023632436737114,97.51622440378064,0.0060400205565912,7.171129609205221,-0.2298847052128984,1.505149978319906,-0.3817868761857422,1.989076878086673,0.855587571902632,-1.6289895346440175,-1.626491496017991,-2.2189615832995715,1.1139433523068367,1.2304489213782739,,0.7632560107743808,1.2767803392040984,2.191051808632026,0.018913867365773697,-0.22836963911580765,1
MOCADB,Gaia eDR3 5290755841537144320,5290755841537144320,120.614139,-60.84166,,,0.363,0.032,0.013,0.017,association,2.604608098993217,0.2765,2.8221016,,,0.94808537,False,19.703203,,08022739-6050299,15.387,,0.0184860679248099,0.0014037255783108,15.36851393207519,7.447225865361126,False,0.2323458855971697,0.0263547307285225,0.0268626206359506,209.4440432189313,0.0017331598188283,40.41675661971331,-0.4400933749638875,1.505149978319906,-0.6338650136446196,2.3210680131386994,1.6065614591377724,-1.5791414166986624,-1.5708516211455437,-2.761161388102587,1.1139433523068367,1.2304489213782739,,0.908396718512929,1.8393307952017517,2.243698183051407,0.06907657488008108,0.33418081688184564,1
MOCADB,Gaia DR2 5586165173924527744,5586165173924527744,112.7773089,-38.26257,,,2.82,0.1,0.045,0.069,association,5.345816118846831,0.0181,2.2420397,,,1.0065383,False,14.969743,,07310657-3815455,11.588,0.023,0.0017095382916154,8.776552683746357e-05,11.586290461708384,5.226360542505713,False,0.5680407172925536,0.0138529536434059,0.0140362131817766,53.05168523414275,0.0531557100882653,3.509000211192238,0.45024910831936105,2.0,-0.24562053284234817,1.7246991842084105,0.545183394353799,-1.8584576190708146,-1.8527500443490412,-1.2744500758890496,1.6532125137753437,1.8388490907372552,,0.23731727208268596,0.9056926166675706,1.85735692531298,0.008048086151211763,-1.0943073833324295,1
MOCADB,Gaia DR2 5585448597279052416,5585448597279052416,113.2109512,-37.9415065,,,0.85,0.1,0.045,0.069,association,5.483957418905175,0.0684,3.0265512,2.6091514,0.4174,1.0388552,False,17.20567,,07325065-3756296,13.247,0.032,0.0016849411561444,8.87081814156099e-05,13.245315058843856,6.940785428739847,False,0.2970926086959571,0.0087054670484563,0.0088650690933811,238.4667618479628,0.0035644380517144,49.26277766308514,-0.07058107428570728,2.0,-0.5271081527823005,2.3774278544370264,1.6925188957235628,-2.0602079240152125,-2.052317875206074,-2.4480089287227336,1.6532125137753437,1.8388490907372552,,0.39352230066703525,1.3551554339401315,2.398918000577612,0.02265454968563328,-0.6448445660598685,1
MOCADB,Cl* Melotte 25 VA 674,3314248558053305216,68.12103630252,17.9045683482182,,,1.6963800191879272,0.695,0.067,0.085,association,17.61850761262078,0.0232,2.784213,,,1.1358705,False,14.141921,,04322897+1754166,10.375,0.018,0.0,0.0,10.375,6.604845592158448,False,0.346644063471082,0.008108227766801,0.0081960163869986,178.8936666623041,0.0094826164102844,26.55952756594663,0.2295231484802379,2.8419848045901137,-0.4601162330069011,2.2525949655964332,1.4242203456460087,-2.0910740601177213,-2.086397181947764,-2.0230718171161954,1.8260748027008264,1.9294189257142926,,0.16360370274975303,0.41742055599112793,2.8943258101945633,0.0026146921076761237,-2.424564248598986,1
MOCADB,Gaia DR2 3413860050922284672,3413860050922284672,78.5987531133099,20.5314031533479,,,3.729,0.695,0.067,0.085,association,20.0660178972456,0.0907,3.1649828,,,1.2514564,True,15.006647,,05142365+2031537,10.498,0.03,0.0,0.0,10.498,7.01030597632842,False,0.2874709243308017,0.0076113199438868,0.0077153892658552,234.15384183128185,0.0159254273636343,47.94821503669578,0.5715923833613072,2.8419848045901137,-0.5414060745961092,2.3695012877744657,1.6807724443712833,-2.1185400219892183,-2.1126421575142316,-1.7979089044131584,1.8260748027008264,1.9294189257142926,,2.47954557115258,3.405974751712663,3.6423382888357727,2.5466821935247523,0.5639899471225491,1
MOCADB,Gaia DR3 5854572966033059840,5854572966033059840,215.649337,-61.294575,,,2.074603553526862,0.111,0.038,0.085,association,0.9524111742089376,0.1214,2.0256119,1.8761119,0.1495,0.9736016,False,18.175472,,14223584-6117404,14.988,,0.054480637629515,0.0028423742218006,14.933519362370484,4.82764177308642,False,0.6262962579597136,0.0453108045689294,0.0404679563859802,41.04047993650799,0.0505501776961769,2.2332808121229055,0.31693511745030184,2.0453229787866576,-0.20322018314509566,1.6132124308698015,0.3489433345751567,-1.3437982261292656,-1.3928887267352312,-1.2962773134194996,1.5797835966168101,1.9294189257142926,,0.476082278218774,1.1029472558087248,1.851688955988415,0.012674979214368364,-0.9423757229779328,1
MOCADB,Gaia DR3 6418732764501078784,6418732764501078784,283.8107358,-71.2517579,,,90.69,0.21,0.027,0.027,association,35.44616550697489,0.0169,2.996149,,,1.3574365,True,13.201255,,18551471-7115026,9.222,0.021,0.0,0.0,9.222,6.96984630489687,False,0.2930786693225268,0.0070527250205876,0.0071326449886519,236.66751352382263,0.3831958119206388,48.71437319619022,1.9575594018974796,2.322219294733919,-0.5330157889741531,2.3741386480194064,1.6876571188906162,-2.1516430485769904,-2.146749391471592,-0.41657924612192687,1.4313637641589874,1.4313637641589874,,3.7085613254398884,3.8663797366528527,4.012826014967825,7.351563902848839,1.5441604419189336,1
MOCADB,Gaia DR3 951668584182590720,951668584182590720,101.9616576,41.1318508,,,3.14,0.631,0.0112316998134464,0.0114352453653266,association,2.135935076575132,0.0605,2.1022902,1.7155901,0.3867,1.02449,False,16.355383,,06475079+4107548,13.098,0.029,0.0185988627742226,0.000960965088673,13.079401137225778,4.727341376401444,False,0.6410391846981355,0.0180730420566326,0.0182731206066206,39.59988538092505,0.0792931588007199,2.0837454123474832,0.49692964807321494,2.8000293592441343,-0.19311542262151699,1.5976939288925878,0.3188446566779976,-1.7429687407863286,-1.7381872793302242,-1.100764280819373,1.0504454876715983,1.0582454876715954,,0.21902916345653892,0.8439785879721284,1.706222814608757,0.0069819797996226365,-1.9560507712720059,1
MOCADB,Cl* NGC 2516 JTH 6745,5290833528904073472,119.3890481,-60.5464675,,,1.458,0.195,0.025,0.025,association,3.696462751137768,0.4176,2.7061462,,,5.7173133,True,17.51057,,07573339-6032473,13.657,0.046,0.0093000092559437,0.0034490678918891,13.647699990744057,6.4866316618253315,False,0.3646819637704566,0.0407790238412054,0.0389648112216759,155.35195203408284,0.009385141164368,17.62625744268137,0.1637575239819558,2.290034611362518,-0.4380857152402705,2.1913167146383348,1.2461601089790781,-1.3895631744738182,-1.4093274235075153,-2.027559190656379,1.3979400086720377,1.3979400086720377,,0.5927679754232611,2.002777007769362,2.7603684119338645,0.10064147838516724,-0.2872576035931558,1
MOCADB,2MASS J08011579-6104094,5289996456957534336,120.3157647,-61.0692289,,,1.22,0.195,0.025,0.025,association,2.611138441164341,0.1362,3.0584698,,,0.9672516,False,18.617891,,08011579-6104094,14.515,0.123,0.0219443366018969,0.0011830641117564,14.493055663398104,6.577205155871377,False,0.3505578656332438,0.0264204248679823,0.0272850689185112,173.78566561541265,0.0070201417112263,24.621217045135996,0.08635983067474821,2.290034611362518,-0.45524028397131605,2.2400139516243645,1.3913095166262932,-1.5780602027571986,-1.5640749449084579,-2.153654120949616,1.3979400086720377,1.3979400086720377,,0.05161889966638624,0.9319224821377674,2.331197644012034,0.008549141043867803,-1.3581121292247504,1
MOCADB,Cl* NGC 2547 OJD 4,5514369504175295744,122.635806,-49.162125,,,10.162,0.0349,0.0012,0.0012,association,2.5542675340217027,0.0547,2.5291977,2.2098978,0.3193,1.0241582,False,17.132183,,08103259-4909436,13.535,0.036,0.0088366316245216,0.0010155318314938,13.526163368375478,5.56249528497867,False,0.5152809273815491,0.0149708737883171,0.0151688641671547,66.82904002668279,0.1520596434715002,4.893988407730637,1.0069791905742769,1.54282542695918,-0.2879559322259868,1.8249652226962085,0.6896629363143851,-1.8247528509348456,-1.8190469376315326,-0.8179860321219317,0.07918124604762482,0.07918124604762482,,2.47925833599653,2.6240555821561853,3.0450715608072763,0.4207804775366639,1.0812301551970054,1
MOCADB,2MASS J08085228-4923097,5514339916139470848,122.2179412,-49.3859906,,,0.712,0.0349,0.0012,0.0012,association,3.641103443310062,0.2447,3.0968857,,,1.0250704,False,19.526539,,08085228-4923097,15.218,0.136,0.0052115377393586,0.000942150559305,15.212788462260642,8.018953549076182,False,0.1757081757792,0.0162744303197739,0.0178992826869099,214.59,0.0033179551703248,30.9,-0.14752000636314366,1.54282542695918,-0.7552080301200561,2.3316094797640927,1.4899584794248346,-1.7884942048063954,-1.7471643730066388,-2.4791294861272366,0.07918124604762482,0.07918124604762482,,0.6722738935124499,1.2191271137271391,2.172504964646963,0.016562546619967453,-0.3236983132320408,1
