source_paper,star_name,source_id,ra,dec,pmra,pmdec,prot_days,age_gyr,age_err_lo_gyr,age_err_hi_gyr,age_method,parallax,parallax_error,bp_rp,bp_rp_0,ebpminrp_gspphot,ruwe,high_ruwe,phot_g_mean_mag,binary_type,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,flag_outside_mann_range,mass_msun,mass_msun_err_lo,mass_msun_err_hi,tau_ce_days,rossby_number,tau_ce_err_days,log_prot,log_age_myr,log_mass_msun,log_tau_ce,log_tau_ce_err,log_mass_err_lo,log_mass_err_hi,log_age_err_lo,log_age_err_hi,cluster_name,p16,p50,p84,inferred_age_gyr,residual_dex,fold
MOCADB,Gaia DR2 508105454438737536,508105454438737536,28.6968956,60.3565574,,,1.9618300199508667,0.3981,0.0795999999999999,0.0795999999999999,association,2.8101699438561627,0.1296,2.9824657,2.3327658,0.6497,0.9973094,False,18.243807,,01544719+6021239,14.121,0.054,0.0299904482256674,0.0062681740631796,14.091009551774333,6.334672474159584,False,0.389166595119887,0.0202160206748507,0.0202155362113067,125.49307701295363,0.01563297407831,9.29200583821722,0.2926613758291711,2.599992177584098,-0.4098644453248732,2.098619768064046,0.9681094739978412,-1.6943043269365299,-1.6943147346408114,1.9009130677376684,1.9009130677376684,MOCADB,0.37880801635247935,1.1819238908058038,2.483406305025271,0.015202810803251792,-1.418068286778294,3
MOCADB,Gaia DR3 604706862424426496,604706862424426496,133.2553672,11.5221112,,,21.1,4.168699999999999,0.401656438893842,0.4444825682676973,association,0.9800243667751012,0.14,1.9336319,1.5975319,0.3361,0.9763972,False,17.871777,,08530129+1131197,14.915,0.096,0.0081217051166433,0.0004243685608143,14.906878294883356,4.863062664286698,False,0.6207984022558585,0.0527424152603571,0.0466958522909687,41.5776989795704,0.5074835913927725,2.2890447771191496,1.3242824552976926,3.620000642300068,-0.20704940948884526,1.6188604506489535,0.3596542882034027,-1.2778399862182028,-1.3307216934626447,2.6038547334646194,2.647854733464619,MOCADB,3.309092500730657,3.415458487865113,3.534689977242872,2.602906020130731,-0.20454215443495505,3
MOCADB,Gaia DR3 3425512739578509056,3425512739578509056,92.381217,24.169163,,,6.038,0.95,0.67,3.5,association,1.294021883936036,0.2153,2.1571617,2.1151617,0.042,1.0103408,False,18.693842,,06093149+2410089,15.333,0.123,0.0483830182467727,0.0085044659204081,15.284616981753228,5.844325086725359,False,0.468966603474621,0.0679962906550079,0.0588499077725213,74.81826090062789,0.0807022233251258,5.472917456567238,0.780893108687079,2.9777236052888476,-0.32885808360284585,1.8740076091009097,0.7382188980917653,-1.1675147783526034,-1.2302542134308518,2.8260748027008264,3.5440680443502757,MOCADB,0.7566873724094473,2.132724201349062,3.025457718638692,0.13574511236579234,-0.8449994039397857,3
MOCADB,Gaia eDR3 65242271214003456,65242271214003456,56.0821222,23.895902,,,0.3103,0.1274,0.01,0.0063,association,7.842584691514767,0.3875,3.7332897,,,2.3931916,True,18.296852,,03441968+2353459,13.307,0.028,0.0027310912694264,0.0042118193634313,13.304268908730574,7.776564995282342,False,0.1977384491782172,0.0113724936114165,0.0116283890642497,209.853834069416,0.0014786482285444,34.372301426636014,-0.5082182244158342,2.1051694279993316,-0.7039088762483702,2.321916908262684,1.536208611666661,-1.9441442984661181,-1.9344804459736744,1.0,0.7993405494535817,MOCADB,0.515461097135098,1.8903916382375896,2.512466337988657,0.07769474367589804,-0.214777789761742,3
MOCADB,Gaia DR2 3213178940967131136,3213178940967131136,75.9080708,-3.5021142,,,1.9490100145339968,0.0871,0.016,0.016,association,3.9291484394734506,0.0582,2.545536,2.246236,0.2993,1.0087767,False,16.41463,,05033794-0330076,12.804,0.029,0.0051820418962172,0.0002669322413494,12.798817958103784,5.770310139865105,False,0.4816295574576674,0.0128479336829441,0.013041048771216,72.63390133855238,0.0268333378576142,5.314630531779158,0.289814070644394,1.9400181550076632,-0.31728686841371684,1.8611393717712161,0.7254730781562361,-1.891166713753265,-1.8846874809019092,1.2041199826559248,1.2041199826559248,MOCADB,0.3287958467768961,1.1484825381292858,2.294959990294978,0.014076106307999612,-0.7915356168783774,3
MOCADB,Gaia DR3 5824981947041049344,5824981947041049344,230.361606,-65.072327,,,1.44811655011642,0.113,0.048,0.076,association,1.8226973761141356,0.1024,2.0498714,1.6677715,0.3821,1.6154279,True,17.289768,,15212678-6504203,13.928,0.064,0.0320368086660686,0.0017055074354266,13.895963191333932,5.199536033254846,False,0.5715620413690048,0.0249796757334056,0.0247350236537586,52.01138549269973,0.0278422990735302,3.3978269796357057,0.16080351699610126,2.0530784434834195,-0.24293662132854604,1.716098422777329,0.5312012604357399,-1.6024132035962573,-1.6066876699898374,1.6812412373755872,1.8808135922807914,MOCADB,0.3809271525603641,1.1237259744889243,2.3700208977299244,0.013296152098538181,-0.9293524689944952,3
MOCADB,Gaia DR2 4518511891266562432,4518511895578333312,283.5103137,19.9327495,,,1.2489999532699585,0.1072,0.0222,0.0222,association,2.807553730832579,0.0639,2.3208656,1.9142656,0.4066,1.04464,False,16.792667,,18540247+1955578,13.21,0.03,0.0340935508117104,0.001819321972117,13.17590644918829,5.417546831791304,False,0.5382527462665326,0.0152694306184765,0.0156764696656894,61.8519029601158,0.0201933957323084,4.449449010728042,0.09656242212545693,2.030194785356751,-0.26901374564686575,1.791353065846531,0.6483062342582566,-1.816177157040769,-1.8047517335735148,1.3463529744506386,1.3463529744506386,MOCADB,0.48580835032448483,1.3571445722462088,2.597856700980693,0.02275854913798201,-0.6730502131105423,3
MOCADB,Gaia DR3 3426281607442490752,3426281607442490752,92.1558596,24.4135659,,,2.203,0.1549,0.0758773812529767,0.1487347109276713,association,1.2047471839135957,0.2024,2.2942486,1.9428486,0.3514,0.9503559,False,18.73233,,06083739+2424489,15.012,0.098,0.0439059112843267,0.0056935281329886,14.968094088715674,5.3725736877893535,False,0.5444484859242382,0.0660828856259856,0.0552346858956128,60.021504444096486,0.0367035118563523,4.253840658677622,0.3430144971507676,2.190051417759206,-0.26404320560005035,1.7783068768532617,0.6287812179707755,-1.179911001037551,-1.2577881113611182,1.8801123337215357,2.1724123337215357,MOCADB,0.268556818509382,1.010986938139512,2.1465508443212387,0.010256210791615481,-1.1790644796196939,3
MOCADB,Gaia DR3 6061032838547809408,6061032838547809408,188.7490173,-57.6057963,,,2.5071511737417818,0.155,0.07,0.16,association,2.3375644018263007,0.0481,2.0053778,1.6816778,0.3237,1.037861,False,16.531937,,12345979-5736208,13.302,0.035,0.023930044848361,0.0012271966619645,13.278069955151638,5.121887879553544,False,0.583663942741391,0.0161704358844041,0.0164237350426382,48.4361380586862,0.0517619957789381,3.0157526648789412,0.39918052141033333,2.1903316981702914,-0.23383713545827822,1.6851695084044411,0.47939572026040994,-1.7912782732512955,-1.7845280698751866,1.845098040014257,2.2041199826559246,MOCADB,0.28342902312317664,1.0152138267992272,2.051699229038979,0.010356519489666085,-1.1751178713710642,3
MOCADB,Gaia DR2 1923528252005724544,1923528252005724544,351.9422727,41.3031389,,,1.1152399778366089,0.414,0.023,0.023,association,7.282443658538913,0.0547,2.924591,2.5076911,0.4169,1.1335166,False,16.077509,,23274614+4118115,12.189,0.024,0.0018958703289252,0.0001001179914312,12.187104129671075,6.498489796389096,False,0.3631341172627806,0.0091482685902978,0.0092750234371843,157.37208520741348,0.0070866442188062,18.392828425607902,0.04736832912072466,2.617000341120899,-0.4399329462319736,2.1969276993347644,1.2646485196231014,-2.0386610931282707,-2.03268498428683,1.3617278360175928,1.3617278360175928,MOCADB,0.3234673067205548,1.118366739693431,2.3606452384604237,0.013133084533655715,-1.4986336014274682,3
MOCADB,Gaia DR3 4247171907805036544,4247171907805036544,301.5269944,4.0053497,,,2.527495978967923,0.155,0.074,0.12,association,1.64150509260112,0.1083,2.2223892,1.8767892,0.3456,0.9720968,False,17.507875,,20060648+0400194,14.157,0.06,0.0156819384672098,0.0008267837787766,14.14131806153279,5.217529233640375,False,0.5688018390493488,0.0275767614019424,0.0267728284454549,52.826828120849534,0.0478449316166756,3.484970510013417,0.4026904733378432,2.1903316981702914,-0.2450390081156794,1.7228545351433664,0.5421991074289687,-1.5594567384448625,-1.5723057448622102,1.8692317197309762,2.0791812460476247,MOCADB,0.28741321844231976,1.0497109277685275,2.1128147608606205,0.011212718722664765,-1.140620770401764,3
MOCADB,Gaia DR3 3052317950291168896,3052317950291168896,105.521316,-8.26152,,,3.922,0.1445,0.0451728791191983,0.0657170063406701,association,1.090749706713379,0.1815,2.2129955,2.0742955,0.1387,0.9918379,False,18.586517,,07020511-0815414,15.121,0.149,0.0366709005214702,0.0132962978296345,15.08432909947853,5.272954623895769,False,0.5598266492638826,0.0668150971518682,0.056577470058528,55.47835561747012,0.0706942366324383,3.7683300732402785,0.5935075893317653,2.1598678470925665,-0.25194643178486426,1.7441235800717152,0.5761489362409633,-1.1751253957737617,-1.2473564765359086,1.6548777714498755,1.817677771449875,MOCADB,0.7611667944755508,1.7230558898137511,2.475278115915139,0.052851326232663316,-0.4368119572788154,3
